疑	Radical				Doubt	Doubt															This radical is the same as the kanji. It means <radical>doubt</radical>.					8204	-	Lesson_55 radical
降伏	Vocabulary	降, 伏	Descend, Bow	kanji, kanji	Surrender, Submission	Surrender, Submission					<reading>こうふく</reading>	こうふく		Noun, する Verb	絶対にあいつらを降伏させてみせる。	I let them surrender unconditionally.					<kanji>Bow</kanji> as you <kanji>descend</kanji> into enemy territory. This is how you have to <vocabulary>surrender</vocabulary> if you want to live. Keep your head nice and low and descend into their ranks.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38664-subject-8180.mp3][sound:18749-subject-8180.mp3]	8243	-	Lesson_55 Vocabulary
潜伏	Vocabulary	潜, 伏	Conceal, Bow	kanji, kanji	Conceal, Hiding, Ambush	Conceal, Hiding, Ambush					<reading>せんぷく</reading>	せんぷく		Noun, する Verb	我々はマフィアの潜伏捜査をすることになった。	We conducted an undercover investigation of the mafia.					<kanji>Bow</kanji> your head to <kanji>conceal</kanji> yourself better than you were <vocabulary>conceal</vocabulary>ing yourself before. If you want to go into <vocabulary>hiding</vocabulary> you need to know how to lay low!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38660-subject-8181.mp3][sound:18747-subject-8181.mp3]	8244	-	Lesson_55 Vocabulary
伏線	Vocabulary	伏, 線	Bow, Line	kanji, kanji	Foreshadowing	Foreshadowing					<reading>ふくせん</reading>	ふくせん		Noun	伏線の張り方がすごい。	This method of foreshadowing is amazing.					Connect a bunch of things <kanji>lay</kanji>ing in a <kanji>line</kanji>. Something's happening here. You can't put your finger on it, but you're pretty sure this is <vocabulary>foreshadowing</vocabulary> for something else.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38670-subject-8182.mp3][sound:18772-subject-8182.mp3]	8245	-	Lesson_55 Vocabulary
伏兵	Vocabulary	伏, 兵	Bow, Soldier	kanji, kanji	Ambush	Ambush					<reading>ふくへい</reading>	ふくへい		Noun	伏兵に襲われたんだ。	They were attacked by an ambush.					A <kanji>soldier</kanji> only <kanji>lay</kanji>s down when she's about to <vocabulary>ambush</vocabulary> the enemy! If you see some soldiers laying around, it's not that they're lazy, it's because they're getting ready to pounce! 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38701-subject-8183.mp3][sound:18757-subject-8183.mp3]	8246	-	Lesson_55 Vocabulary
佳作	Vocabulary	佳, 作	Excellent, Make	kanji, kanji	Fine Work, Good Piece Of Work	Fine Work, Good Piece Of Work					<reading>かさく</reading>	かさく		Noun	私の描いた絵が佳作で入選しました。	The picture I drew was chosen as a good piece of work.					<kanji>Make</kanji> something <kanji>excellent</kanji> and everyone will call it a <vocabulary>fine work</vocabulary>. Or make something that sucks and let everyone down. It's your call.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38605-subject-8184.mp3][sound:18708-subject-8184.mp3]	8247	-	Lesson_55 Vocabulary
傍	Vocabulary	傍	Nearby	kanji	Near, Close, Beside	Near, Close, Beside					<reading>そば</reading> <reading>はた</reading>	そば, はた		Noun	いつまでも君の傍にいるよ。	I am always with you.					Something <kanji>nearby</kanji> is <vocabulary>near</vocabulary> to you. It's very <vocabulary>close</vocabulary>.		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you to remember:   There is a restaurant <vocabulary>near</vocabulary> your house that only sells dishes with <reading>soba</reading> (<ja>そば</ja>) noodles in them. They're delicious, but it's so <vocabulary>close</vocabulary> to your home that you can smell them all the time. Sometimes it feels like that's all you'll ever smell anymore.		[sound:38685-subject-8185.mp3][sound:18769-subject-8185.mp3][sound:41701-subject-8185.mp3][sound:41705-subject-8185.mp3]	8248	-	Lesson_55 Vocabulary
傍観	Vocabulary	傍, 観	Nearby, View	kanji, kanji	Look On, Sit By And Watch, Spectate	Look On, Sit By And Watch, Spectate					<reading>ぼうかん</reading>	ぼうかん		Noun, する Verb	私はイジメをただ傍観していました。	I only looked on at the bullying.					<kanji>Nearby</kanji> there is a beautiful <kanji>view</kanji>. <vocabulary>Look on</vocabulary> as the sun sets and the sky changes color. You would give up anything to be able to <vocabulary>spectate</vocabulary> this kind of thing all the time.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38646-subject-8186.mp3][sound:18733-subject-8186.mp3]	8249	-	Lesson_55 Vocabulary
傍受	Vocabulary	傍, 受	Nearby, Accept	kanji, kanji	Monitoring, Interception, Tapping	Monitoring, Interception, Tapping					<reading>ぼうじゅ</reading>	ぼうじゅ		Noun, する Verb	警察は、犯罪捜査のために、通信の傍受を行うことがあります。	The police may perform correspondence monitoring for the sake of the criminal investigation.					Only <kanji>accept</kanji> new people moving in <kanji>nearby</kanji> once you've finished properly <vocabulary>monitoring</vocabulary> them! <vocabulary>Tapping</vocabulary> into their phones will probably help too, but don't tell anyone I told you to do that.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38684-subject-8187.mp3][sound:18766-subject-8187.mp3]	8250	-	Lesson_55 Vocabulary
凝固	Vocabulary	凝, 固	Congeal, Hard	kanji, kanji	Solidify, Coagulate, Freeze	Solidify, Coagulate, Freeze					<reading>ぎょうこ</reading>	ぎょうこ		Noun, する Verb	煮詰めたジャムは、冷めてくると粘性が強まり、ゼリー状に凝固します。	When the jam I boiled cools it will become viscous and solidify into jelly.					Your pudding <kanji>congeal</kanji>ed and is all <kanji>hard</kanji>. How on earth did it <vocabulary>solidify</vocabulary> like this? It shouldn't <vocabulary>freeze</vocabulary> unless you put it in the freezer. Unless, did you? Oh... 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38576-subject-8188.mp3][sound:18696-subject-8188.mp3]	8251	-	Lesson_55 Vocabulary
凝視	Vocabulary	凝, 視	Congeal, Look At	kanji, kanji	Stare, Gaze, Fixation	Stare, Gaze, Fixation					<reading>ぎょうし</reading>	ぎょうし		Noun, する Verb	タイプの女性がいたので、思わず凝視してしまいました。	She was my type of woman so I stared unintentionally.					<kanji>Freeze</kanji> and <kanji>look at</kanji> me. Your <vocabulary>stare</vocabulary> is giving me the creeps! You can move now. Hey. You can move now. Stop I said!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38584-subject-8189.mp3][sound:18681-subject-8189.mp3]	8252	-	Lesson_55 Vocabulary
凝る	Vocabulary	凝	Congeal	kanji	To Be Absorbed In, To Grow Stiff, To Be Devoted To	To Be Absorbed In, To Grow Stiff, To Be Devoted To					<reading>こる</reading>	こる		Intransitive Verb, Godan Verb	妻の料理の盛り付けは、いつも凝っています。	I’m always absorbed in the arrangement of my wife’s food.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>congeal</kanji> or <kanji>freeze</kanji>, so the verb version is <vocabulary>to grow stiff</vocabulary>. But it's also used to mean what happens when your emotions or interests freeze on one thing. You start <vocabulary>to be absorbed in</vocabulary> whatever that thing is. Try to remember both meanings.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   What have all your friends started <vocabulary>to be absorbed in</vocabulary>? Their <ja><reading>子</reading></ja>s (<ja>こ</ja>). They all keep having kids and now that's all they seem to care about. Damn kids.		[sound:38676-subject-8190.mp3][sound:18779-subject-8190.mp3]	8253	-	Lesson_55 Vocabulary
奉仕	Vocabulary	奉, 仕	Dedicate, Doing	kanji, kanji	Attendance, Service, Ministry	Attendance, Service, Ministry					<reading>ほうし</reading>	ほうし		Noun, する Verb	今年の夏休みは、老人ホームで奉仕活動をしました。	This summer vacation I volunteered at a senior citizen’s home.					<kanji>Dedicate</kanji> yourself to <kanji>doing</kanji> the best at school by having perfect <vocabulary>attendance</vocabulary>! That's how you can show you're really dedicated to learning.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38602-subject-8191.mp3][sound:18692-subject-8191.mp3]	8254	-	Lesson_55 Vocabulary
信奉	Vocabulary	信, 奉	Believe, Dedicate	kanji, kanji	Belief, Faith	Belief, Faith					<reading>しんぽう</reading>	しんぽう		Noun, する Verb	私は日本国民全員が神道を信奉すべきだと思います。	I think all Japanese citizens should believe in Shinto.					<kanji>Dedicate</kanji> your life to what you <kanji>believe</kanji> in and you'll have really strong <vocabulary>belief</vocabulary> and <vocabulary>faith</vocabulary> in whatever that thing is. Just try to dedicate yourself to something nice.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38658-subject-8192.mp3][sound:18744-subject-8192.mp3]	8255	-	Lesson_55 Vocabulary
奉公	Vocabulary	奉, 公	Dedicate, Public	kanji, kanji	Service, Apprenticeship, Public Duty	Service, Apprenticeship, Public Duty					<reading>ほうこう</reading>	ほうこう		Noun, する Verb	お礼奉公とは看護婦が、看護学生時代に借りた奨学金の返済制度の一つです。	"Oreiboukou, which means ""free service after finishing an apprenticeship,"" is a system for nurses to pay back the student loans they took out while they were at school."					<kanji>Dedicate</kanji> yourself to the <kanji>public</kanji> by doing community <vocabulary>service</vocabulary>!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38700-subject-8193.mp3][sound:18794-subject-8193.mp3]	8256	-	Lesson_55 Vocabulary
奉納	Vocabulary	奉, 納	Dedicate, Supply	kanji, kanji	Dedication, Offering, Presentation	Dedication, Offering, Presentation					<reading>ほうのう</reading>	ほうのう		Noun, する Verb, の Adjective	どうして首相が靖国神社に玉串料を奉納することが批判されるのですか。	Why did the Prime Minister receive criticism for making an offering at Yasukuni Shrine?					If you <kanji>dedicate</kanji> your entire <kanji>supply</kanji> of food to the gods it's called an <vocabulary>offering</vocabulary>, and it takes real <vocabulary>dedication</vocabulary> to do something like that.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38653-subject-8194.mp3][sound:18734-subject-8194.mp3]	8257	-	Lesson_55 Vocabulary
尿	Vocabulary	尿	Urine	kanji	Urine, Pee	Urine, Pee					<reading>にょう</reading>	にょう		Noun	病院で尿検査をして、妊娠していると言われました。	I took a urinalysis test at the hospital and it said I was pregnant.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:38690-subject-8195.mp3][sound:18780-subject-8195.mp3]	8258	-	Lesson_55 Vocabulary
弥生	Vocabulary	弥, 生	Increasing, Life	kanji, kanji	Yayoi Period, Yayoi	Yayoi Period, Yayoi					<reading>やよい</reading>	やよい		Noun	弥生時代のはじまりは紀元前300年頃です。	The beginning of the Yayoi Period was approximately 300 BCE.					<kanji>Life</kanji> in Japan was <kanji>increasing</kanji> at its fastest rate during the <vocabulary>Yayoi Period</vocabulary>. It's one of the earliest periods of history in Japan that we know about! You should look it up, if you don't already know about it.		The reading for this word is an exception but it's the same in Japanese as it is in English. So if you just remember it's <reading>Yayoi</reading> (<ja>やよい</ja>) in English, you'll remember the Japanese too!		[sound:38601-subject-8196.mp3][sound:18687-subject-8196.mp3]	8259	-	Lesson_55 Vocabulary
循環	Vocabulary	循, 環	Circulation, Loop	kanji, kanji	Circulation, Rotation, Cycle	Circulation, Rotation, Cycle					<reading>じゅんかん</reading>	じゅんかん		Noun, する Verb, の Adjective	血液の循環には二種類の経路があります。	There are two types of paths for blood circulation.					<kanji>Circulation</kanji> in a <kanji>loop</kanji> is still <vocabulary>circulation</vocabulary>. Or <vocabulary>rotation</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38647-subject-8197.mp3][sound:18753-subject-8197.mp3]	8260	-	Lesson_55 Vocabulary
哀悼	Vocabulary	哀, 悼	Pathetic, Grieve	kanji, kanji	Condolence, Regret, Sympathy, Lament	Condolence, Regret, Sympathy, Lament					<reading>あいとう</reading>	あいとう		Noun, する Verb, の Adjective	哀悼の意を表して、黙祷しました。	I expressed my condolences and prayed silently.					<kanji>Grieve</kanji> for a <kanji>pathetic</kanji> situation by offering your <vocabulary>condolence</vocabulary>s. Showing <vocabulary>regret</vocabulary> is the best way to handle it.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38648-subject-8198.mp3][sound:18750-subject-8198.mp3]	8261	-	Lesson_55 Vocabulary
追悼	Vocabulary	追, 悼	Follow, Grieve	kanji, kanji	Mourning, Memorial	Mourning, Memorial					<reading>ついとう</reading>	ついとう		Noun, する Verb, の Adjective	みんなで奴の追悼コンサートを開かないか？	Why don’t we open his memorial concert with everyone?					<kanji>Follow</kanji> people who <kanji>grieve</kanji> by <vocabulary>mourning</vocabulary> with them. You don't want to be the only one who doesn't seem sad.		This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>追</ja> yet, so here's a mnemonic to help you:  You're <vocabulary>mourning</vocabulary> the loss of your pet pig. You can't help but yell <reading>SOOEY</reading> (<ja>つい</ja>) to the sky, hoping she'll come back to life. It doesn't work so you stay in a state of mourning for the rest of your life. She was your best pig friend, after all.		[sound:38638-subject-8199.mp3][sound:18730-subject-8199.mp3]	8262	-	Lesson_55 Vocabulary
惜しむ	Vocabulary	惜	Frugal	kanji	To Be Frugal, To Be Sparing	To Be Frugal, To Be Sparing					<reading>おしむ</reading>	おしむ		Transitive Verb, Godan Verb	お前がちょっとした手間を惜しんだために、全ての計画がおじゃんになったんだぞ！	You wouldn’t spare even a little time so all your plans fell through!					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>frugal</kanji>, so the verb version is <vocabulary>to be frugal</vocabulary> or <vocabulary>to be sparing</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   You should try <vocabulary>to be frugal</vocabulary> when you go to the <reading>ocea</reading>n (<ja>おし</ja>). There are lots of things to buy, like delicious food, sun hats, and tofugu dolls, but you really shouldn't spend all your money there. Try to plan on spending less when you head to the ocean next time, okay?		[sound:38709-subject-8200.mp3][sound:18796-subject-8200.mp3]	8263	-	Lesson_55 Vocabulary
惜敗	Vocabulary	惜, 敗	Frugal, Failure	kanji, kanji	Loss Of A Close Game, Regrettable Defeat	Loss Of A Close Game, Regrettable Defeat					<reading>せきはい</reading>	せきはい		Noun, する Verb	わが校は、惜敗でベスト8入りを逃しました。	Our school missed getting into the top eight by losing a close game.					Your team was about to win the game but you decided to be <kanji>frugal</kanji> with your shots near the end and it resulted in <kanji>failure</kanji>, making it a <vocabulary>loss of a close game</vocabulary>. If you had just taken those shots your team probably would have won. What a <vocabulary>regrettable defeat</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38654-subject-8201.mp3][sound:20559-subject-8201.mp3]	8264	-	Lesson_55 Vocabulary
愉快	Vocabulary	愉, 快	Pleasant, Pleasant	kanji, kanji	Pleasant, Happy	Pleasant, Happy					<reading>ゆかい</reading>	ゆかい		Noun, な Adjective	昔、「僕は殺しが愉快でたまらない」と言った少年殺人犯がいました。	"A long time ago, a young murderer said, ""I can’t help but find murder pleasant."""					A <kanji>pleasant</kanji> <kanji>pleasant</kanji> person is super <vocabulary>pleasant</vocabulary>! They're <vocabulary>happy</vocabulary> and nice to everybody all the time!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38686-subject-8202.mp3][sound:18787-subject-8202.mp3]	8265	-	Lesson_55 Vocabulary
憂鬱	Vocabulary	憂, 鬱	Grief, Gloom	kanji, kanji	Depression, Melancholy, Dejection, Gloom	Depression, Melancholy, Dejection, Gloom					<reading>ゆううつ</reading>	ゆううつ		Noun, な Adjective	会社へ出勤するのが憂鬱です。	Working at a company is depressing.					With lots of <kanji>grief</kanji> and <kanji>gloom</kanji> in your life you'll probably end up in a spiral of <vocabulary>depression</vocabulary>. Don't worry, you'll be okay. Things get better with time so don't give into the <vocabulary>gloom</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38657-subject-8203.mp3][sound:18752-subject-8203.mp3]	8266	-	Lesson_55 Vocabulary
憂国	Vocabulary	憂, 国	Grief, Country	kanji, kanji	Patriotic Concern, Patriotism	Patriotic Concern, Patriotism					<reading>ゆうこく</reading>	ゆうこく		Noun	憂国の若きサムライたちよ、今こそ立ち上がれ！	Young warriors of patriotism, now is the time to stand up!					Whenever something bad happens to your <kanji>country</kanji> to feel an exceptional amount of <kanji>grief</kanji> for your fellow country people. This is some serious <vocabulary>patriotic concern</vocabulary> you've got going on. Let's hope you use those concerns for something good and don't get too carried away.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38643-subject-8204.mp3][sound:18729-subject-8204.mp3]	8267	-	Lesson_55 Vocabulary
憂慮	Vocabulary	憂, 慮	Grief, Consider	kanji, kanji	Anxiety, Concern, Fear	Anxiety, Concern, Fear					<reading>ゆうりょ</reading>	ゆうりょ		Noun, する Verb	ズバリ、社長が現在抱える憂慮とは何ですか。	What is the company president concerned about now?					All you can do is <kanji>consider</kanji> your <kanji>grief</kanji> and how it's ruining your life. That's called <vocabulary>anxiety</vocabulary>, and it can be a real problem. You end up being <vocabulary>concern</vocabulary>ed about everything, but don't worry. There are ways to combat it. You'll be okay!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38704-subject-8205.mp3][sound:18783-subject-8205.mp3]	8268	-	Lesson_55 Vocabulary
憂える	Vocabulary	憂	Grief	kanji	To Be Anxious, To Worry About, To Lament, To Grieve, To Be Distressed	To Be Anxious, To Worry About, To Lament, To Grieve, To Be Distressed					<reading>うれえる</reading>	うれえる		Transitive Verb, Ichidan Verb	親が子供の将来を憂えるのは当然のことだ。	It’s natural for parents to be anxious about their children’s’ futures.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>grieve</kanji>, so the verb version is <vocabulary>to grieve</vocabulary> or <vocabulary>to be anxious</vocabulary>.		"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   Your aunt starts <vocabulary>to grieve</vocabulary> really loudly at your Uncle Ray's funeral. ""<reading>Ooh, Ray</reading> (<ja>うれ</ja>)! OOoh, Ray why did you have to leave me!"" It's really sad. You even hear it in your head after you've left and gone home. You've never seen someone start <vocabulary>to be distressed</vocabulary> like that in public."		[sound:38725-subject-8206.mp3][sound:18821-subject-8206.mp3]	8269	-	Lesson_55 Vocabulary
遺憾	Vocabulary	遺, 憾	Leave Behind, Remorse	kanji, kanji	Regrettable, Unsatisfactory	Regrettable, Unsatisfactory					<reading>いかん</reading>	いかん		Noun, な Adjective	裁判は誠に遺憾な結果に終わりました。	The trial ended with an absolutely unsatisfactory result.					If you <kanji>leave behind</kanji> something and it makes you feel <kanji>remorse</kanji> it's a really <vocabulary>regrettable</vocabulary> situation. You should probably go back for whatever it was so you won't lead an <vocabulary>unsatisfactory</vocabulary> life.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38607-subject-8207.mp3][sound:18699-subject-8207.mp3]	8270	-	Lesson_55 Vocabulary
披露宴	Vocabulary	披, 露, 宴	Expose, Expose, Banquet	kanji, kanji, kanji	Wedding Reception, Reception	Wedding Reception, Reception					<reading>ひろうえん</reading>	ひろうえん		Noun	友人の披露宴に出席する際のマナーを教えてください。	Please teach me manners for when I attend my friend’s wedding reception.					"You already learned that <ja>披露</ja> means ""announcement"" or ""display,"" so add a <kanji>banquet</kanji> to that and you're at a <vocabulary>wedding reception</vocabulary>! Or if no one's getting married but they're showing off something at a big place with food and stuff it's a just a normal <vocabulary>reception</vocabulary>."		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38720-subject-8208.mp3][sound:18802-subject-8208.mp3]	8271	-	Lesson_55 Vocabulary
一抹	Vocabulary	一, 抹	One, Erase	kanji, kanji	A Little, A Touch, Slightly	A Little, A Touch, Slightly					<reading>いちまつ</reading>	いちまつ		Noun	一抹の不安が胸をよぎった。	For a moment I felt a little anxious.					<kanji>Erase</kanji> <kanji>one</kanji> part of your feelings and you'll only feel <vocabulary>a little</vocabulary> bit of them. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38668-subject-8209.mp3][sound:18759-subject-8209.mp3]	8272	-	Lesson_55 Vocabulary
抹殺	Vocabulary	抹, 殺	Erase, Kill	kanji, kanji	Murder, Killing, Denial, Erasure, Obliteration, Ignoring	Murder, Killing, Denial, Erasure, Obliteration, Ignoring					<reading>まっさつ</reading>	まっさつ		Noun, する Verb	あの男は、組織に歯向かったため、社会から抹殺されたんだよ。	That man rose against the system and was erased by society.					<kanji>Erase</kanji> the fact that you <kanji>kill</kanji>ed someone by shaking your head in <vocabulary>denial</vocabulary> about the <vocabulary>murder</vocabulary>. No one will know.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38628-subject-8210.mp3][sound:18736-subject-8210.mp3]	8273	-	Lesson_55 Vocabulary
抹茶	Vocabulary	抹, 茶	Erase, Tea	kanji, kanji	Matcha, Powdered Green Tea	Matcha, Powdered Green Tea					<reading>まっちゃ</reading>	まっちゃ		Noun	毎朝抹茶ラテを飲んでいます。	I drink a matcha latte every morning.					<kanji>Erase</kanji> your need for normal <kanji>tea</kanji> by drinking <vocabulary>matcha</vocabulary>. It is far superior to all others and you'll never turn back once you've had a taste.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38582-subject-8211.mp3][sound:18686-subject-8211.mp3]	8274	-	Lesson_55 Vocabulary
抹消	Vocabulary	抹, 消	Erase, Extinguish	kanji, kanji	Erase, Delete	Erase, Delete					<reading>まっしょう</reading>	まっしょう		Noun, する Verb	彼は怪我で一軍登録を抹消されたんだ。	His army registration was deleted due to the injury.					If you want to <kanji>erase</kanji> and <kanji>extinguish</kanji> every lamp and every picture of a lamp in the world, just <vocabulary>erase</vocabulary> them all. Simple as that.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38642-subject-8212.mp3][sound:18732-subject-8212.mp3]	8275	-	Lesson_55 Vocabulary
据え付ける	Vocabulary	据, 付	Install, Attach	kanji, kanji	To Install, To Equip, To Mount	To Install, To Equip, To Mount					<reading>すえつける</reading>	すえつける		Transitive Verb, Ichidan Verb	ここに戸棚を据え付けるつもりだよ。	I’m planning to install cupboards here.					"This is a combination of the words <ja>据える</ja>, meaning ""to install,"" and <ja>付ける</ja>, meaning ""to attach."" Put them together and you're still going <vocabulary>to install</vocabulary> something or <vocabulary>to equip</vocabulary> something. There's just more hands on work happening."		The readings for this word are both kun'yomi readings. You learned them when you learned the kanji, so you should be able to read this on your own.		[sound:38748-subject-8213.mp3][sound:18816-subject-8213.mp3]	8276	-	Lesson_55 Vocabulary
一旦	Vocabulary	一, 旦	One, Dawn	kanji, kanji	Once, For A Moment, Temporarily	Once, For A Moment, Temporarily					<reading>いったん</reading>	いったん		Adverb	この話は一旦なかったことにしてもらえませんか。	Will you forget that conversation for a moment?					You only have time to do <kanji>one</kanji> thing at <kanji>dawn</kanji> <vocabulary>once</vocabulary>. Dawn is really short so you can do whatever it is <vocabulary>for a moment</vocabulary>, but that's it.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38619-subject-8214.mp3][sound:18716-subject-8214.mp3]	8277	-	Lesson_55 Vocabulary
元旦	Vocabulary	元, 旦	Origin, Dawn	kanji, kanji	New Year's Day, New Year's Morning	New Year's Day, New Year's Morning					<reading>がんたん</reading>	がんたん		Noun	元旦には家族で初詣に行きます。	I’m going to visit a shrine with my family on New Year’s Day.					The <kanji>origin</kanji> of <kanji>dawn</kanji> can be found on <vocabulary>New Year's Day</vocabulary>. That's when the new sun is born and rises above the earth for a whole year until it dies. And that's the origin of dawn, children. Don't let your teachers tell you otherwise.		This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>元</ja> yet, so here's a mnemonic to help you:  Who's always there on the dawn of <vocabulary>New Year's Day</vocabulary> welcoming the new sun? <reading>Gan</reading>dhi (<ja>がん</ja>). He sits on the edge of the earth and makes sure the sun feels welcome. What a nice guy.		[sound:38661-subject-8215.mp3][sound:18743-subject-8215.mp3]	8278	-	Lesson_55 Vocabulary
繁昌	Vocabulary	繁, 昌	Overgrown, Prosperous	kanji, kanji	Prosperity, Flourishing, Thriving	Prosperity, Flourishing, Thriving					<reading>はんじょう</reading>	はんじょう		Noun, する Verb	商売が繁昌するように、神社でお祈りをしてきました。	I went to pray at a Shinto shrine in order for the company to prosper.					<kanji>Overgrown</kanji> <kanji>prosperity</kanji> is still <vocabulary>prosperity</vocabulary>. Why, it's even <vocabulary>thriving</vocabulary>. Nice!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38703-subject-8216.mp3][sound:18793-subject-8216.mp3]	8279	-	Lesson_55 Vocabulary
素朴	Vocabulary	素, 朴	Element, Simple	kanji, kanji	Simple, Naive	Simple, Naive					<reading>そぼく</reading>	そぼく		Noun, な Adjective	みなさんの素朴な疑問にお答えします。	I responded to everyone’s naive questions.					People made from <kanji>simple</kanji> <kanji>element</kanji>s are also pretty <vocabulary>simple</vocabulary>. And they can be <vocabulary>naive</vocabulary> too. But that's just how they're built.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38599-subject-8217.mp3][sound:18683-subject-8217.mp3]	8280	-	Lesson_55 Vocabulary
栃木県	Vocabulary	栃, 木, 県	Horse Chestnut, Tree, Prefecture	kanji, kanji, kanji	Tochigi Prefecture	Tochigi Prefecture					<reading>とちぎけん</reading>	とちぎけん		Noun	栃木県の出身なんですか？	Are you from Tochigi Prefecture?					The <kanji>prefecture</kanji> with lots of <kanji>horse chestnut</kanji> <kanji>tree</kanji>s is <vocabulary>Tochigi prefecture</vocabulary>.		This word consists of the kun'yomi readings for <ja>栃</ja> and <ja>木</ja> and the on'yomi for <ja>県</ja>, like most with prefectures. As long as you remember that <ja>き</ja> is changed to <ja>ぎ</ja> here, you should be able to remember this reading easily!		[sound:38729-subject-8218.mp3][sound:18808-subject-8218.mp3]	8281	-	Lesson_55 Vocabulary
栓	Vocabulary	栓	Cork	kanji	Cork, Stopper, Plug	Cork, Stopper, Plug					<reading>せん</reading>	せん		Noun	栓抜きが無くても瓶ビールの栓を抜く裏ワザを知っています。	If you don’t have a bottle opener, I know a trick to open a beer bottle.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:38674-subject-8219.mp3][sound:18761-subject-8219.mp3]	8282	-	Lesson_55 Vocabulary
栓抜き	Vocabulary	栓, 抜	Cork, Extract	kanji, kanji	Bottle Opener, Corkscrew	Bottle Opener, Corkscrew					<reading>せんぬき</reading>	せんぬき		Noun	栓抜きはそこの引き出しに入ってます。	The bottle opener is in that drawer.					What do you use to <kanji>extract</kanji> a <kanji>cork</kanji>? A <vocabulary>corkscrew</vocabulary>! Or a <vocabulary>bottle opener</vocabulary> if you're feeling adventurous.		This word consists of the on'yomi reading for <ja>栓</ja> and the kun'yomi reading for <ja>抜</ja>, which you learned with <ja>抜く</ja>. If you can remember that, you'll be able to remember this too!		[sound:38721-subject-8220.mp3][sound:18803-subject-8220.mp3]	8283	-	Lesson_55 Vocabulary
