高	Radical				Tall	Tall															This radical is the same as the kanji. It means <radical>tall</radical>.					7914	-	Lesson_53 radical
襟巻き	Vocabulary	襟, 巻	Collar, Scroll	kanji, kanji	Scarf, Muffler, Comforter	Scarf, Muffler, Comforter					<reading>えりまき</reading>	えりまき		Noun	ピンクの襟巻きを巻いているのが私の妹です。	The girl wrapped in the pink scarf is my little sister.					"Remember how you learned that <ja>巻く</ja> means ""to roll?"" Well the thing you roll up around your <kanji>collar</kanji> is a <vocabulary>scarf</vocabulary>!"		The readings for this word are both kun'yomi readings. You've learned both of these readings by now so you should be able to read this on your own.		[sound:38334-subject-7961.mp3][sound:18441-subject-7961.mp3]	7953	-	Lesson_53 Vocabulary
丹誠	Vocabulary	丹, 誠	Rust Colored, Sincerity	kanji, kanji	Working Earnestly, Sincerity, Diligence, Effort	Working Earnestly, Sincerity, Diligence, Effort					<reading>たんせい</reading>	たんせい		Noun, する Verb	お婆ちゃんが丹誠込めて育てたトマトだよ。	Grandma worked earnestly and raised the tomatoes.					A miner works with such <kanji>sincerity</kanji> that her arms and legs start turning <kanji>rust colored</kanji> from <vocabulary>working earnestly</vocabulary>. All the clay and rocks she's putting her <vocabulary>effort</vocabulary> into digging are turning her the same color. That color is how you know someone works with serious <vocabulary>diligence</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38319-subject-7962.mp3][sound:18424-subject-7962.mp3]	7954	-	Lesson_53 Vocabulary
丹念	Vocabulary	丹, 念	Rust Colored, Thought	kanji, kanji	Diligent, Careful, Elaborate, Meticulous	Diligent, Careful, Elaborate, Meticulous					<reading>たんねん</reading>	たんねん		Noun, な Adjective	熟練の染師が、一つ一つ丹念に染め上げました。	The skilled dyeing master diligently finished dyeing each one.					If you don't want your <kanji>thought</kanji>s to turn <kanji>rust colored</kanji>, you need to be <vocabulary>diligent</vocabulary> and studying, learning, and experiencing new things. Without diligence your brain and all your thoughts will get old, and stale, turning a rusty, gross color. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38320-subject-7963.mp3][sound:18416-subject-7963.mp3]	7955	-	Lesson_53 Vocabulary
批准	Vocabulary	批, 准	Criticism, Semi	kanji, kanji	Ratification, Ratify	Ratification, Ratify					<reading>ひじゅん</reading>	ひじゅん		Noun, する Verb	新戦略兵器削減条約の批准を最優先課題としています。	The ratification of New START is a maximum priority issue.					If there is only <kanji>semi</kanji> <kanji>criticism</kanji> on a law <vocabulary>ratification</vocabulary> is still possible. It's only if everyone criticizes it that it won't be ratified.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38178-subject-7964.mp3][sound:18280-subject-7964.mp3]	7956	-	Lesson_53 Vocabulary
過剰	Vocabulary	過, 剰	Surpass, Surplus	kanji, kanji	Excess, Over	Excess, Over					<reading>かじょう</reading>	かじょう		Noun, な Adjective	過剰包装は紙の無駄です。	Over wrapping is a waste of paper.					If you <kanji>surpass</kanji> your <kanji>surplus</kanji> then you have lots of <vocabulary>excess</vocabulary> stuff.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38210-subject-7965.mp3][sound:18271-subject-7965.mp3]	7957	-	Lesson_53 Vocabulary
余剰	Vocabulary	余, 剰	Surplus, Surplus	kanji, kanji	Redundant, Surplus, Residue, Balance	Redundant, Surplus, Residue, Balance					<reading>よじょう</reading>	よじょう		Noun, の Adjective	余剰資金で株を買いました。	I bought stock with surplus funds.					If you have a <kanji>surplus</kanji> <kanji>surplus</kanji> it's a little <vocabulary>redundant</vocabulary> and you end up having a <vocabulary>surplus</vocabulary> of surpluses! 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38186-subject-7966.mp3][sound:18264-subject-7966.mp3]	7958	-	Lesson_53 Vocabulary
剰余金	Vocabulary	剰, 余, 金	Surplus, Surplus, Gold	kanji, kanji, kanji	Surplus	Surplus					<reading>じょうよきん</reading>	じょうよきん		Noun	会社の利益剰余金を資本金に振替えるつもりです。	We intend to transfer the company’s earned surplus into capital.					<kanji>Surplus</kanji> of <kanji>surplus</kanji> <kanji>money</kanji> is still a <vocabulary>surplus</vocabulary>. There's just too much money everywhere!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38279-subject-7967.mp3][sound:18375-subject-7967.mp3]	7959	-	Lesson_53 Vocabulary
召し上がる	Vocabulary	召, 上	Call, Above	kanji, kanji	To Respectfully Eat, To Respectfully Drink	To Respectfully Eat, To Respectfully Drink					<reading>めしあがる</reading>	めしあがる		Transitive Verb, Godan Verb	もしよければお召し上がり下さい。	Please eat if you’d like.					"You've seen that <ja>召す</ja> can mean ""to respectfully eat,"" so adding <ja>上がる</ja>, ""to rise,"" means you're lifting the other person up. In polite language you use this when you're talking to someone higher up than you so you have to raise the humbly eating up. So it still means <vocabulary>to respectfully eat</vocabulary>, but raising it makes it a higher politeness level."		This is a combination of the words <ja>召す</ja> and <ja>上がる</ja> that you learned already. <ja>召す</ja> becomes <ja>召し</ja> and then you add that to <ja>上がる</ja>. Pretty straightforward, right?		[sound:38344-subject-7968.mp3][sound:18442-subject-7968.mp3]	7960	-	Lesson_53 Vocabulary
啓示	Vocabulary	啓, 示	Enlighten, Indicate	kanji, kanji	Revelation	Revelation					<reading>けいじ</reading>	けいじ		Noun, する Verb	それはまるで神の啓示のようだった。	That’s just like divine revelation.					What <kanji>indicate</kanji>s that you've been <kanji>enlighten</kanji>ed enough to reach enlightenment? A <vocabulary>revelation</vocabulary>! That's the only way you can know you've been enlightened enough.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38179-subject-7969.mp3][sound:18268-subject-7969.mp3]	7961	-	Lesson_53 Vocabulary
啓発	Vocabulary	啓, 発	Enlighten, Departure	kanji, kanji	Enlightenment, Development, Illumination, Education, Inspiration	Enlightenment, Development, Illumination, Education, Inspiration					<reading>けいはつ</reading>	けいはつ		Noun, する Verb	最近は、自己啓発本ばかり読んでいます。	Lately I’ve only been reading self-improvement books.					When you are <kanji>enlighten</kanji>ed enough you'll need to make your <kanji>departure</kanji> from this world into <vocabulary>enlightenment</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38230-subject-7970.mp3][sound:18315-subject-7970.mp3]	7962	-	Lesson_53 Vocabulary
啓蒙	Vocabulary	啓, 蒙	Enlighten, Darkness	kanji, kanji	Enlightenment, Instruction	Enlightenment, Instruction					<reading>けいもう</reading>	けいもう		Noun, する Verb	我々が大衆を啓蒙するのです。	We enlighten the general public.					<kanji>Enlighten</kanji> the <kanji>darkness</kanji> of people's minds with <vocabulary>instruction</vocabulary> and they'll reach <vocabulary>enlightenment</vocabulary> like you did!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38250-subject-7971.mp3][sound:18339-subject-7971.mp3]	7963	-	Lesson_53 Vocabulary
土壌	Vocabulary	土, 壌	Dirt, Soil	kanji, kanji	Soil	Soil					<reading>どじょう</reading>	どじょう		Noun	土壌が悪い時は育てられない。	You can’t make a tree grow in bad soil.					<kanji>Soil</kanji> <kanji>soil</kanji> is still <kanji>soil</kanji>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38182-subject-7972.mp3][sound:18278-subject-7972.mp3]	7964	-	Lesson_53 Vocabulary
平壌	Vocabulary	平, 壌	Flat, Soil	kanji, kanji	Pyongyang	Pyongyang					<reading>へいじょう</reading> <reading>ぴょんやん</reading>	へいじょう, ぴょんやん		Proper Noun	平壌で英語を教えていたことがあります。	I taught English in Pyongyang.					What's the city of <kanji>flat</kanji> <kanji>soil</kanji>? <vocabulary>Pyongyang</vocabulary> in North Korea. Which is pretty misleading, it's got more than a bunch of flat dirt, but back in the old days before the illustrious Kim Jong line built it up, that's all that was there.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. It can also be pronounced the way we say it in English sometimes too. That's <ja>ピョンヤン</ja>, if you're wondering, and these kanji are used for it too.		[sound:41781-subject-7973.mp3][sound:41660-subject-7973.mp3][sound:38269-subject-7973.mp3][sound:18365-subject-7973.mp3]	7965	-	Lesson_53 Vocabulary
寛大	Vocabulary	寛, 大	Tolerance, Big	kanji, kanji	Tolerance, Liberality, Leniency	Tolerance, Liberality, Leniency					<reading>かんだい</reading>	かんだい		Noun, な Adjective	それは寛大な処置だったと思います。	I think they were tolerant measures.					It doesn't matter how <kanji>big</kanji> your <kanji>tolerance</kanji> is because it's still <vocabulary>tolerance</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38249-subject-7974.mp3][sound:18362-subject-7974.mp3]	7966	-	Lesson_53 Vocabulary
寛容	Vocabulary	寛, 容	Tolerance, Form	kanji, kanji	Tolerance, Open Minded, Forbearance, Generous	Tolerance, Open Minded, Forbearance, Generous					<reading>かんよう</reading>	かんよう		Noun, な Adjective	自分には厳しいけど、他人には寛容です。	I’m strict with myself but tolerant of others.					All <kanji>forms</kanji> of <kanji>tolerance</kanji> are still <vocabulary>tolerance</vocabulary>. Usually people like this are really <vocabulary>open minded</vocabulary> and <vocabulary>generous</vocabulary> too.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38216-subject-7975.mp3][sound:18321-subject-7975.mp3]	7967	-	Lesson_53 Vocabulary
寛ぐ	Vocabulary	寛	Tolerance	kanji	To Relax, To Feel At Home	To Relax, To Feel At Home					<reading>くつろぐ</reading>	くつろぐ		Godan Verb	まるで自分の家のように寛いでいました。	I relaxed like it was my own home.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>tolerance</kanji>, so the verb version is what happens when you're a really tolerant person. You're able <vocabulary>to relax</vocabulary> and <vocabulary>to feel at home</vocabulary> because nothing really gets to you.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   You want <vocabulary>to relax</vocabulary> so you go down to old <reading>coots ro</reading>ad (<ja>くつろ</ja>). It's a road with a bunch of old coots who don't bother nobody. They just kinda sit around and complain. That's where you like to relax. Something about being surrounded by a bunch of old coots on old coots road makes you feel at home.		[sound:38348-subject-7976.mp3][sound:18414-subject-7976.mp3]	7968	-	Lesson_53 Vocabulary
元帥	Vocabulary	元, 帥	Origin, Commander	kanji, kanji	General Of The Army, Marshal, Admiral	General Of The Army, Marshal, Admiral					<reading>げんすい</reading>	げんすい		Noun	これが、あの有名な最高司令官のマッカ—サ—元帥です。	That’s famous supreme commander, General MacArthur. 					The <kanji>commander</kanji>'s <kanji>origin</kanji> was as the <vocabulary>general of the army</vocabulary>. He stepped down, but that's where he started. Maybe he's working the system backwards...		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38332-subject-7977.mp3][sound:18433-subject-7977.mp3]	7969	-	Lesson_53 Vocabulary
総帥	Vocabulary	総, 帥	Whole, Commander	kanji, kanji	Commander, Leader, Fuhrer	Commander, Leader, Fuhrer					<reading>そうすい</reading>	そうすい		Noun, Suffix	それは、ヒトラー総帥の指令だったのです。	That was Fuhrer Hitler’s order.					"The <kanji>commander</kanji> of the <kanji>whole</kanji> army is just called "" the <vocabulary>commander</vocabulary>."" No one knows his real name and everyone is too afraid to ask. "		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38225-subject-7978.mp3][sound:18317-subject-7978.mp3]	7970	-	Lesson_53 Vocabulary
統帥	Vocabulary	統, 帥	Unite, Commander	kanji, kanji	Supreme Command, High Command	Supreme Command, High Command					<reading>とうすい</reading>	とうすい		Noun, する Verb	今日は学校で、天皇の統帥権について学びました。	Today at school we learned about the supreme command authority of the Emperor of Japan.					The <kanji>commander</kanji> that <kanji>unite</kanji>s the world is one with <vocabulary>supreme command</vocabulary>. He's better than all the other commanders who couldn't bring everyone together and now he rules over everyone.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38231-subject-7979.mp3][sound:18316-subject-7979.mp3]	7971	-	Lesson_53 Vocabulary
徐行	Vocabulary	徐, 行	Gently, Go	kanji, kanji	Going Slowly	Going Slowly					<reading>じょこう</reading>	じょこう		Noun, する Verb	住宅地や学校の近くでは、徐行で運転してください。	Please drive slowly near residential districts and schools.					If you <kanji>go</kanji> <kanji>gently</kanji> you're actually <vocabulary>going slowly</vocabulary>. You can't be gentle if you don't move slowly.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38188-subject-7980.mp3][sound:20552-subject-7980.mp3]	7972	-	Lesson_53 Vocabulary
徐々	Vocabulary	徐, 々	Gently, Repeater	kanji, kanji	Gradually, Steadily, Quietly, Slowly	Gradually, Steadily, Quietly, Slowly					<reading>じょじょ</reading>	じょじょ		Adverb, の Adjective	二学期に入って、徐々に成績が上がり始めました。	Second semester came and my grade slowly started to rise.					If you do it <kanji>gently</kanji> <kanji>gently</kanji> then you're only doing it <vocabulary>gradually</vocabulary>. You have to go <vocabulary>slowly</vocabulary> if you want to be as gentle as possible.		The reading is just the on'yomi readings (which you learned with the kanji) twice in a row.		[sound:38282-subject-7981.mp3][sound:18381-subject-7981.mp3]	7973	-	Lesson_53 Vocabulary
惨事	Vocabulary	惨, 事	Disaster, Action	kanji, kanji	Disaster, Horrible Accident	Disaster, Horrible Accident					<reading>さんじ</reading>	さんじ		Noun	惨事を招くことは避けたい。	I want to avoid causing a disaster.					<kanji>Disaster</kanji> in <kanji>action</kanji> means the <vocabulary>disaster</vocabulary> is still happening. Get outta there!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38289-subject-7982.mp3][sound:18380-subject-7982.mp3]	7974	-	Lesson_53 Vocabulary
悲惨	Vocabulary	悲, 惨	Sad, Disaster	kanji, kanji	Disastrous, Tragic, Miserable, Wretched, Pitiful	Disastrous, Tragic, Miserable, Wretched, Pitiful					<reading>ひさん</reading>	ひさん		Noun, な Adjective	残された加害者の家族の末路は、悲惨なものだった。	The assailant’s remaining family member’s last days were tragic.					A <kanji>sad</kanji> <kanji>disaster</kanji> is one that's especially <vocabulary>disastrous</vocabulary> and <vocabulary>tragic</vocabulary>. It's the worst kind you can imagine.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38149-subject-7983.mp3][sound:18251-subject-7983.mp3]	7975	-	Lesson_53 Vocabulary
惨め	Vocabulary	惨	Disaster	kanji	Miserable, Wretched, Unhappy, Sad	Miserable, Wretched, Unhappy, Sad					<reading>みじめ</reading>	みじめ		な Adjective	そんなことを言われて、人がどれだけ惨めな気持ちになるのか分かる？	You say something like that, but do you understand how miserable people feel?					If you face a lot of <kanji>disaster</kanji>s in your life you're going to be really <vocabulary>miserable</vocabulary>. It's a shame, but it's hard to be anything but <vocabulary>sad</vocabulary> when your life is full of disastrous stuff.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet so here's a mnemonic to help you:  You'll be really <vocabulary>miserable</vocabulary> if you find out you're going to have a really <ja>短い</ja> (<ja>みじ</ja>) life.		[sound:38328-subject-7984.mp3][sound:18418-subject-7984.mp3]	7976	-	Lesson_53 Vocabulary
惨敗	Vocabulary	惨, 敗	Disaster, Failure	kanji, kanji	Crushing Failure, Utterly Beaten, Overwhelming Defeat	Crushing Failure, Utterly Beaten, Overwhelming Defeat					<reading>ざんぱい</reading>	ざんぱい		Noun, する Verb	日本はワールドカップで惨敗してしまった。	Japan suffered a crushing failure at the World Cup.					<kanji>Failure</kanji> that causes <kanji>disaster</kanji> is a <vocabulary>crushing failure</vocabulary> and you were <vocabulary>utterly beaten</vocabulary> by your opponent.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:40452-subject-7985.mp3][sound:18298-subject-7985.mp3]	7977	-	Lesson_53 Vocabulary
惨状	Vocabulary	惨, 状	Disaster, Condition	kanji, kanji	Disastrous Scene, Terrible Spectacle	Disastrous Scene, Terrible Spectacle					<reading>さんじょう</reading>	さんじょう		Noun	東北大震災の惨状を忘れることができません。	I can’t forget the disastrous scene of the Great Tohoku Earthquake.					<kanji>Disastrous</kanji> <kanji>condition</kanji>s in the weather lead to you seeing a <vocabulary>disastrous scene</vocabulary>. Just don't look outside and you won't see the horrible stuff out your window right now.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38200-subject-7986.mp3][sound:18289-subject-7986.mp3]	7978	-	Lesson_53 Vocabulary
披露	Vocabulary	披, 露	Expose, Expose	kanji, kanji	Announcement, Show, Display, Introduction, Perform	Announcement, Show, Display, Introduction, Perform					<reading>ひろう</reading>	ひろう		Noun, する Verb	誕生日会で、手品を披露しました。	Sleight of hand was performed at the birthday party.					<kanji>Expose</kanji> what you want to <kanji>expose</kanji> by making an <vocabulary>announcement</vocabulary>. Then <vocabulary>show</vocabulary> the world!		This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for <ja>露</ja> yet, so here's a mnemonic to help you:  You're making the <vocabulary>announcement</vocabulary> from a <reading>row</reading> (<ja>ろう</ja>) boat. People will pay more attention when you're in a row boat because it's kind of weird. Especially since you're in a row boat on a stage.		[sound:38283-subject-7987.mp3][sound:18372-subject-7987.mp3]	7979	-	Lesson_53 Vocabulary
挟まる	Vocabulary	挟	Between	kanji	To Get Between, To Be Caught In	To Get Between, To Be Caught In					<reading>はさまる</reading>	はさまる		Intransitive Verb, Godan Verb	アスパラガスが歯に挟まっています。	You have asparagus caught in your teeth.					"You already learned the word <ja>挟む</ja> which means ""to put between."" Well this is when something is between two things and you're not putting it there. It's just kinda doing it by itself. It means <vocabulary>to get between</vocabulary> or <vocabulary>to be caught in</vocabulary>."		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You already learned this reading when you learned <ja>挟む</ja>, so you should be able to read this word as well.		[sound:38336-subject-7988.mp3][sound:18412-subject-7988.mp3]	7980	-	Lesson_53 Vocabulary
据える	Vocabulary	据	Install	kanji	To Install, To Place, To Fix, To Set, To Lay, To Seat	To Install, To Place, To Fix, To Set, To Lay, To Seat					<reading>すえる</reading>	すえる		Transitive Verb, Ichidan Verb	今度、この機械を工場に据えようと思っているんだ。	I think I’m going to have the machine fixed by the factory this time.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>install</kanji>, so the verb version is <vocabulary>to install</vocabulary> or <vocabulary>to fix</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading already so you should be able to read it!		[sound:38159-subject-7989.mp3][sound:18266-subject-7989.mp3]	7981	-	Lesson_53 Vocabulary
搭載	Vocabulary	搭, 載	Board, Publish	kanji, kanji	Built In, Equipped With	Built In, Equipped With					<reading>とうさい</reading>	とうさい		Noun, する Verb	今度の機種には、どんな新機能が搭載されるんでしょうか。	What kinds of features are built in to this model?					You nail a <kanji>board</kanji> to the wall of a house you're selling and <kanji>publish</kanji> in the listing that it was <vocabulary>built in</vocabulary> with the house! No one will know you just put it there.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38211-subject-7990.mp3][sound:18296-subject-7990.mp3]	7982	-	Lesson_53 Vocabulary
搭乗	Vocabulary	搭, 乗	Board, Ride	kanji, kanji	Boarding, Embarkation	Boarding, Embarkation					<reading>とうじょう</reading>	とうじょう		Noun, する Verb	ご搭乗の際は、足元にお気をつけください。	Please watch your feet while boarding.					When you <kanji>board</kanji> a plane or a car to take a <kanji>ride</kanji> it's called <vocabulary>boarding</vocabulary> or <vocabulary>embarkation</vocabulary>. You have to get on the right way or you can't ride.		This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>乗</ja> yet, so here's a mnemonic to help you:  You know one person who always has a hard time <vocabulary>boarding</vocabulary> a plane, and it's <reading>Jou</reading>rm (<ja>じょう</ja>), the simple farmhand. Jourm is what you'd call a very big boy. He doesn't fit in the tube thing you normally walk through when boarding a plane, so he has to climb up the side. It's a whole thing.		[sound:38209-subject-7991.mp3][sound:18307-subject-7991.mp3]	7983	-	Lesson_53 Vocabulary
曙	Vocabulary	曙	Dawn	kanji	Dawn, Daybreak, Beginning	Dawn, Daybreak, Beginning					<reading>あけぼの</reading>	あけぼの		Noun	春の曙の空はいくら見ても見飽きません。	No matter how many times I see dawn in the spring sky, I don’t get tired of it.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:38212-subject-7992.mp3][sound:18295-subject-7992.mp3]	7984	-	Lesson_53 Vocabulary
枯れ木	Vocabulary	枯, 木	Wither, Tree	kanji, kanji	Dead Tree, Dry Wood	Dead Tree, Dry Wood					<reading>かれき</reading>	かれき		Noun	枯れ木に花を咲かせましょう。	Let’s make the dead tree bloom.					A <kanji>wither</kanji>ed <kanji>tree</kanji> is a <vocabulary>dead tree</vocabulary> and it's got really <vocabulary>dry wood</vocabulary>. Perfect for a campfire!		The readings for this word are both kun'yomi readings. You've learned both of these readings by now so you should be able to read this on your own. Sometimes you'll see it spelled <ja>枯木</ja> without the kana too. Keep your eyes open for it!		[sound:38166-subject-7993.mp3][sound:20598-subject-7993.mp3]	7985	-	Lesson_53 Vocabulary
枯らす	Vocabulary	枯	Wither	kanji	To Let Dry, To Kill, To Season	To Let Dry, To Kill, To Season					<reading>からす</reading>	からす		Transitive Verb, Godan Verb	水をやりすぎて、サボテンを枯らしてしまいました。	I gave the cactus too much water and I killed it.					"You already learned the word <ja>枯れる</ja> which means ""to wither,"" but this is when you are the one making a plant wither. It means <vocabulary>to let dry</vocabulary> or <vocabulary>to kill</vocabulary> your plants. They didn't just die on their own, you did it."		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You already learned this reading when you learned <ja>枯れる</ja>, so you should be able to read this word as well.		[sound:38163-subject-7994.mp3][sound:18246-subject-7994.mp3]	7986	-	Lesson_53 Vocabulary
沸かす	Vocabulary	沸	Boil	kanji	To Boil, To Heat, To Excite	To Boil, To Heat, To Excite					<reading>わかす</reading>	わかす		Transitive Verb, Godan Verb	お風呂を沸かしておきましたよ。	I ran the bath for you.					"You already learned the word <ja>沸く</ja> which means ""to boil"" or ""to grow hot"" but this is when you are the one heating the water. It still means <vocabulary>to boil</vocabulary> or <vocabulary>to heat</vocabulary>. But remember that you're the one who is doing the heating."		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You already learned this reading when you learned <ja>沸く</ja>, so you should be able to read this word as well.		[sound:38180-subject-7995.mp3][sound:18261-subject-7995.mp3]	7987	-	Lesson_53 Vocabulary
沸騰	Vocabulary	沸, 騰	Boil, Inflation	kanji, kanji	Boiling, Seething	Boiling, Seething					<reading>ふっとう</reading>	ふっとう		Noun, する Verb	スープが沸騰してグツグツいってますよ。	The soup was boiling and simmering.					The <kanji>inflation</kanji> of <kanji>boil</kanji>ing water means that bubbles are being inflated in there and bubbling to the top. This is called <vocabulary>boiling</vocabulary>, or if it's happening in a person it's called <vocabulary>seething</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38205-subject-7996.mp3][sound:20557-subject-7996.mp3]	7988	-	Lesson_53 Vocabulary
自浄	Vocabulary	自, 浄	Self, Cleanse	kanji, kanji	Self Purification, Self Cleansing	Self Purification, Self Cleansing					<reading>じじょう</reading>	じじょう		Noun, する Verb	この事件が業界の自浄を促すだろう。	This incident will promote the self-purification of the industry.					If you <kanji>purify</kanji> your <kanji>self</kanji> you are performing <vocabulary>self purification</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38154-subject-7997.mp3][sound:18249-subject-7997.mp3]	7989	-	Lesson_53 Vocabulary
浄化	Vocabulary	浄, 化	Cleanse, Change	kanji, kanji	Purification, Cleanup	Purification, Cleanup					<reading>じょうか</reading>	じょうか		Noun, する Verb, の Adjective	私は、放射能汚染水を浄化する施設を設計しています。	I’m designing a facility to purify radioactive water.					<kanji>Purify</kanji> water to <kanji>change</kanji> it from being dirty. This is called <vocabulary>purification</vocabulary>. It's important to purify water before you drink it.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38167-subject-7998.mp3][sound:18252-subject-7998.mp3]	7990	-	Lesson_53 Vocabulary
浄土	Vocabulary	浄, 土	Cleanse, Dirt	kanji, kanji	Pure Land	Pure Land					<reading>じょうど</reading>	じょうど		Noun	そこはまさに極楽浄土のような所だった。	That place is exactly like Amitabha’s Pure Land.					Land where all the people have been <kanji>cleanse</kanji>d and <kanji>purified</kanji> is the <vocabulary>Pure Land</vocabulary> of Buddhism. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38294-subject-7999.mp3][sound:18385-subject-7999.mp3]	7991	-	Lesson_53 Vocabulary
不浄	Vocabulary	不, 浄	Not, Cleanse	kanji, kanji	Uncleanliness, Dirtiness, Impurity, Filthiness, Defilement	Uncleanliness, Dirtiness, Impurity, Filthiness, Defilement					<reading>ふじょう</reading>	ふじょう		Noun, な Adjective, の Adjective	インドでは、左手を不浄の手として、右手でご飯を食べる。	In India the left hand is considered to be unclean and the right hand is used to eat.					If you have <kanji>not</kanji> <kanji>cleanse</kanji>d yourself you're going to be covered in <vocabulary>uncleanliness</vocabulary> and <vocabulary>dirtiness</vocabulary>. Eww. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38174-subject-8000.mp3][sound:18269-subject-8000.mp3]	7992	-	Lesson_53 Vocabulary
浄水	Vocabulary	浄, 水	Cleanse, Water	kanji, kanji	Clean Water	Clean Water					<reading>じょうすい</reading>	じょうすい		Noun	三十万円の浄水器を売りつけられそうになりました。	I almost had a three hundred thousand yen water filter sold to me.					When you <kanji>cleanse</kanji> <kanji>water</kanji> it becomes <vocabulary>clean water</vocabulary> that you can drink.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38206-subject-8001.mp3][sound:18299-subject-8001.mp3]	7993	-	Lesson_53 Vocabulary
清浄	Vocabulary	清, 浄	Pure, Cleanse	kanji, kanji	Pure, Clean, Purity	Pure, Clean, Purity					<reading>せいじょう</reading> <reading>しょうじょう</reading>	せいじょう, しょうじょう		Noun, な Adjective, の Adjective	真に清浄な心を持った人間などいるのでしょうか。	Do you think there are people with absolutely pure hearts?					<kanji>Pure</kanji> <kanji>cleanse</kanji>d things are <vocabulary>pure</vocabulary> and <vocabulary>clean</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:41650-subject-8002.mp3][sound:41651-subject-8002.mp3][sound:40469-subject-8002.mp3][sound:18308-subject-8002.mp3]	7994	-	Lesson_53 Vocabulary
洗浄	Vocabulary	洗, 浄	Wash, Cleanse	kanji, kanji	Washing, Cleaning, Laundering	Washing, Cleaning, Laundering					<reading>せんじょう</reading>	せんじょう		Noun, する Verb, の Adjective	電気ポットはどうやって洗浄してますか？	How do you do the wash with a hot water dispenser?					You <kanji>wash</kanji> something to <kanji>cleanse</kanji> it by doing the <vocabulary>washing</vocabulary> and <vocabulary>cleaning</vocabulary>. You have to do the washing if you really want to get all the dirt out and make your things clean.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38217-subject-8003.mp3][sound:18309-subject-8003.mp3]	7995	-	Lesson_53 Vocabulary
