下	Radical				Below	Below															This radical is the same as the kanji. It means <radical>below</radical>.					8679	-	Lesson_59 radical
忌まわしい	Vocabulary	忌	Mourning	kanji	Unpleasant, Disgusting, Inauspicious, Ominous	Unpleasant, Disgusting, Inauspicious, Ominous					<reading>いまわしい</reading>	いまわしい		い Adjective	この忌まわしい記憶をどうか消し去ってください。	Please erase this disgusting memory somehow.					This is a single kanji with an <ja>い</ja> on the end, meaning you know it's probably an adjective. What's the adjective form of <kanji>mourning</kanji>? It's <vocabulary>unpleasant</vocabulary> or <vocabulary>disgusting</vocabulary>. Nobody said mourning was fun.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   Your mourning is especially <vocabulary>unpleasant</vocabulary> because it's your pet <reading>ea</reading>gle (<ja>い</ja>) you're mourning for. Your parents wouldn't let you bury him so you're just staring at his week old, dead eagle body. It's super <vocabulary>disgusting</vocabulary>, actually.		[sound:39219-subject-8457.mp3][sound:19319-subject-8457.mp3]	8720	-	Lesson_59 Vocabulary
早乙女	Vocabulary	早, 乙, 女	Early, Latter, Woman	kanji, kanji, kanji	Rice Planting Girl, Saotome	Rice Planting Girl, Saotome					<reading>さおとめ</reading>	さおとめ		Noun	昔は稲の苗を水田に植えつける女性のことを「早乙女」や「植女」と呼んでいました。	Long ago, women who planted rice seedlings were called Saotome or Ueme.					A young <kanji>woman</kanji> who is planting rice from <kanji>early</kanji> morning into the <kanji>latter</kanji> evenings is a <vocabulary>rice planting girl</vocabulary>. You'll see them out there all day long, from dawn till dusk, planting, taking care of, and picking rice.		This is a really weird exception, sorry. You've kind of learned these reading, but they're like... weird variations of them.  Take the <ja>さ</ja> from <ja>早速</ja>, the <ja>おつ</ja> becomes <ja>おと</ja>, and then the <ja>女</ja> kun'yomi <ja>め</ja> (hey that one's normal!). And you get <ja>さおとめ</ja>. You might need to just memorize this one.		[sound:39338-subject-8515.mp3][sound:19425-subject-8515.mp3]	8721	-	Lesson_59 Vocabulary
東亜	Vocabulary	東, 亜	East, Asia	kanji, kanji	East Asia, The Orient	East Asia, The Orient					<reading>とうあ</reading>	とうあ		Noun	太平洋戦争のことを、大東亜戦争と呼ぶのは何故ですか。	Why is the Pacific War called The Greater East Asian War?					<kanji>East</kanji> <kanji>Asia</kanji> is <vocabulary>East Asia</vocabulary>! That's where Japan is!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39349-subject-8516.mp3][sound:19449-subject-8516.mp3]	8722	-	Lesson_59 Vocabulary
侮蔑	Vocabulary	侮, 蔑	Despise, Scorn	kanji, kanji	Scorn, Disdain, Contempt, Slight	Scorn, Disdain, Contempt, Slight					<reading>ぶべつ</reading>	ぶべつ		Noun, する Verb	叔母の言葉は、いつも軽い侮蔑を帯びている。	My aunts speech always has light traces of contempt.					<kanji>Despise</kanji> someone and your <kanji>scorn</kanji> for them just becomes even stronger <vocabulary>scorn</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39248-subject-8517.mp3][sound:19353-subject-8517.mp3]	8723	-	Lesson_59 Vocabulary
侮る	Vocabulary	侮	Despise	kanji	To Despise, To Disdain, To Make Light Of	To Despise, To Disdain, To Make Light Of					<reading>あなどる</reading>	あなどる		Transitive Verb, Godan Verb	子供だからといって侮らない方がいい。	You shouldn’t make light of it just because it’s a child.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>despise</kanji>, so the verb version is <vocabulary>to despise</vocabulary>.		"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   Think of all the things you start <vocabulary>to despise</vocabulary> and <vocabulary>to disdain</vocabulary>. Now come up with some <reading>anecdo</reading>tes (<ja>あなど</ja>) for each one of those things. Be sure to think in your head, ""I'm coming up with anecdotes for things I disdain, why am I coming up with anecdotes?"""		[sound:39393-subject-8518.mp3][sound:19479-subject-8518.mp3]	8724	-	Lesson_59 Vocabulary
侮辱	Vocabulary	侮, 辱	Despise, Humiliate	kanji, kanji	Insult, Contempt, Slight	Insult, Contempt, Slight					<reading>ぶじょく</reading>	ぶじょく		Noun, する Verb, の Adjective	こんな侮辱を受けて、黙っていろというのか。	Are you telling me to stay quiet and just accept the insults?					You <kanji>despise</kanji> this one guy so much that you want to <kanji>humiliate</kanji> him so you <vocabulary>insult</vocabulary> him in public. That wasn't very nice, but it did seem to embarrass him. I guess you won.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39261-subject-8519.mp3][sound:19347-subject-8519.mp3]	8725	-	Lesson_59 Vocabulary
凸凹	Vocabulary	凸, 凹	Convex, Concave	kanji, kanji	Uneven, Rough, Rugged	Uneven, Rough, Rugged					<reading>でこぼこ</reading>	でこぼこ		Noun, する Verb, な Adjective, の Adjective	床がちょっと凸凹しているのが気になるね。	I’m worried that the floor is a little uneven.					"Remember how you learned that <ja>凹凸</ja> means ""uneven?"" Well spin something uneven around and it's still <vocabulary>uneven</vocabulary>! Just kinda backwards, just like this word!"		However, just because the meaning stays the same when you flip it, doesn't mean the reading does. Doing that actually made the reading change from on'yomi to kun'yomi readings! You haven't learned either of these yet so here's a mnemonic to help you:  When you have the convex parts first and the concave parts second in something <vocabulary>uneven</vocabulary> is ends up looking like a <reading>deco box</reading> (<ja>でこぼこ</ja>). An art deco box that is. They have lots of stuff stick out of them on the outside, but you can open them up and put stuff on the inside.		[sound:39347-subject-8520.mp3][sound:19432-subject-8520.mp3]	8726	-	Lesson_59 Vocabulary
凹む	Vocabulary	凹	Concave	kanji	To Become Hollow, To Be Dented, To Sink, To Collapse	To Become Hollow, To Be Dented, To Sink, To Collapse					<reading>へこむ</reading>	へこむ		Godan Verb	失恋で凹んでいます。	I’m sinking in unrequited love.	早速新車を凹ませてしまって、凹んでいます。	I'm super sad because I made a dent on my new car already.			This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>hollow</kanji>, so the verb version is <vocabulary>to become hollow</vocabulary> and <vocabulary>to sink</vocabulary>		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   You feel like you've started <vocabulary>to become hollow</vocabulary> when you have a <reading>he</reading>ad <reading>co</reading>ld (<ja>へこ</ja>). You may be all stuffed up, but it's making you so sad that you feel hollow somehow.		[sound:39263-subject-8521.mp3][sound:19354-subject-8521.mp3]	8727	-	Lesson_59 Vocabulary
卑屈	Vocabulary	卑, 屈	Lowly, Yield	kanji, kanji	Subservient, Abject	Subservient, Abject					<reading>ひくつ</reading>	ひくつ		Noun, な Adjective	どうしてすぐに卑屈になるの？	Why do you immediately become subservient?					A <kanji>lowly</kanji> person who <kanji>yield</kanji>s to everyone is really <vocabulary>subservient</vocabulary>. They'll do everything people tell them because they don't have the nerves to speak up and just say no.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39262-subject-8522.mp3][sound:19355-subject-8522.mp3]	8728	-	Lesson_59 Vocabulary
卑劣	Vocabulary	卑, 劣	Lowly, Inferiority	kanji, kanji	Mean, Foul Play, Cowardly, Base	Mean, Foul Play, Cowardly, Base					<reading>ひれつ</reading>	ひれつ		Noun, な Adjective	卑劣な手段を使いやがって。	You played a mean trick!					If you treat someone in a <kanji>lowly</kanji> manner because you think they're <kanji>inferior</kanji> to you then you're a <vocabulary>mean</vocabulary> person. Plain and simple.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39273-subject-8523.mp3][sound:19362-subject-8523.mp3]	8729	-	Lesson_59 Vocabulary
叔父	Vocabulary	叔, 父	Uncle, Father	kanji, kanji	Uncle	Uncle					<reading>おじ</reading>	おじ		Noun	叔父はこの学校の校長です。	My uncle is the principle of this school.					An <kanji>uncle</kanji> on your <kanji>father</kanji>'s side is still your <vocabulary>uncle</vocabulary>. This uncle always has to be younger than him though. 		The reading for this word is an exception. But you already learned the <ja>伯父</ja> which means uncle too. Well they have the same reading! So if you know one uncle, you know them all!		[sound:39249-subject-8524.mp3][sound:19333-subject-8524.mp3]	8730	-	Lesson_59 Vocabulary
叔母	Vocabulary	叔, 母	Uncle, Mother	kanji, kanji	Aunt	Aunt					<reading>おば</reading>	おば		Noun	叔母は学校の先生をしています。	My aunt is a school teacher.					An <kanji>aunt</kanji> on your <kanji>mother</kanji>'s side is still your <vocabulary>aunt</vocabulary>. This aunt always has to be younger than her though. 		The reading for this word is an exception. But you already learned the <ja>伯母</ja> which means aunt too. Well they have the same reading! So if you know one aunt, you know them all!		[sound:39247-subject-8525.mp3][sound:19329-subject-8525.mp3]	8731	-	Lesson_59 Vocabulary
吟味	Vocabulary	吟, 味	Recital, Flavor	kanji, kanji	Scrutiny, Testing, Careful Investigation	Scrutiny, Testing, Careful Investigation					<reading>ぎんみ</reading>	ぎんみ		Noun, する Verb	結婚相手はよく吟味してから決めたい。	I want to decide on a spouse after a lot of careful investigation.					If you tasted the air at a <kanji>recital</kanji> the <kanji>flavor</kanji> would taste like <vocabulary>scrutiny</vocabulary>. That's really what everyone is doing when they watch. They don't really want to hear you, they just want to judge you.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39355-subject-8526.mp3][sound:19443-subject-8526.mp3]	8732	-	Lesson_59 Vocabulary
堪える	Vocabulary	堪	Endure	kanji	To Endure, To Bear	To Endure, To Bear, To Stand, To Put Up With					<reading>こらえる</reading> <reading>こたえる</reading> <reading>たえる</reading>	こらえる, こたえる, たえる		Intransitive Verb, Transitive Verb, Ichidan Verb	この作品は読むに堪えない出来栄えだ。	In the end, I couldn’t bear reading the work.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>endure</kanji>, so the verb version is <vocabulary>to endure</vocabulary> or <vocabulary>to bear</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading when you learned the kanji!		[sound:41755-subject-8527.mp3][sound:41760-subject-8527.mp3][sound:41759-subject-8527.mp3][sound:41763-subject-8527.mp3][sound:39386-subject-8527.mp3][sound:19470-subject-8527.mp3]	8733	-	Lesson_59 Vocabulary
婚姻	Vocabulary	婚, 姻	Marriage, Marry	kanji, kanji	Marriage, Matrimony	Marriage, Matrimony					<reading>こんいん</reading>	こんいん		Noun, する Verb, の Adjective	婚姻届を役所に提出しました。	I submitted the marriage registration at the public office.					<kanji>Marry</kanji> and <kanji>marriage</kanji> still make <vocabulary>marriage</vocabulary>. Congratulations! Wooh! Yay! 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39282-subject-8528.mp3][sound:19372-subject-8528.mp3]	8734	-	Lesson_59 Vocabulary
駐屯	Vocabulary	駐, 屯	Resident, Barracks	kanji, kanji	Stationed, Occupancy	Stationed, Occupancy					<reading>ちゅうとん</reading>	ちゅうとん		Noun, する Verb	あそこには米軍が駐屯しているんだよ。	US armed forces are stationed over there. 					<kanji>Resident</kanji> soldiers live in <kanji>barracks</kanji> when they've been <vocabulary>stationed</vocabulary> in another country. They have to serve their <vocabulary>occupancy</vocabulary> for a certain amount of time before they get to go back home.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39304-subject-8529.mp3][sound:19406-subject-8529.mp3]	8735	-	Lesson_59 Vocabulary
岬	Vocabulary	岬	Cape	kanji	Cape	Cape					<reading>みさき</reading>	みさき		Noun	岬の突端にカフェがあるんです。	There’s a cafe on the tip of the cape.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:39250-subject-8530.mp3][sound:19361-subject-8530.mp3]	8736	-	Lesson_59 Vocabulary
峠	Vocabulary	峠	Peak	kanji	Peak, Mountain Pass, Ridge	Peak, Mountain Pass, Ridge, Climax					<reading>とうげ</reading>	とうげ		Noun, Suffix	この峠で転ぶと、三年だけしか生きられないという言い伝えがあります。	Legends says, if you fall off this peak you’ll only have three years left to live.					The kanji and the word are exactly the same. That means they share meanings as well.		You climb the <vocabulary>peak</vocabulary> and see adorable little <reading>To</reading>kyo <reading>ge</reading>ckos (<ja>とうげ</ja>) climbing all over the place. They're climbing with you now!		[sound:39377-subject-8531.mp3][sound:19471-subject-8531.mp3]	8737	-	Lesson_59 Vocabulary
崇高	Vocabulary	崇, 高	Worship, Tall	kanji, kanji	Loftiness, Sublimity, Nobility	Loftiness, Sublimity, Nobility					<reading>すうこう</reading>	すうこう		Noun, な Adjective	自然の崇高な美しさに感動しました。	I was deeply moved by the noble beauty of nature.					You <kanji>worship</kanji> someone who is so <kanji>high</kanji> above you that you can't help but be in awe of their <vocabulary>loftiness</vocabulary>. Their <vocabulary>nobility</vocabulary> is the reason you feel like you should worship them in the first place.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39319-subject-8532.mp3][sound:19401-subject-8532.mp3]	8738	-	Lesson_59 Vocabulary
崇拝	Vocabulary	崇, 拝	Worship, Worship	kanji, kanji	Worship, Adoration, Admiration, Cult	Worship, Adoration, Admiration, Cult					<reading>すうはい</reading>	すうはい		Noun, する Verb	どうして偶像崇拝を禁止するのですか。	Why do they prohibit idol worship?					<kanji>Worship</kanji> in the morning, <kanji>worship</kanji> in the night, <vocabulary>worship</vocabulary> all day! Worship that WaniKani poster. Do it.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39271-subject-8533.mp3][sound:19371-subject-8533.mp3]	8739	-	Lesson_59 Vocabulary
惜しまない	Vocabulary	惜	Frugal	kanji	Without Sparing, Spare No	Without Sparing, Spare No					<reading>おしまない</reading>	おしまない		い Adjective	目的を成し遂げるには、努力を惜しまないことが大切だと思います。	I think it’s important to spare no effort in fulfilling your goals.					"Remember how you learned that <ja>惜しむ</ja> means ""to be sparing?"" Well if you make that negative with <ja>ない</ja>, then you're doing it <vocabulary>without sparing</vocabulary> anything instead."		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You learned this reading already, so you should be able to read this already too!		[sound:39387-subject-8534.mp3][sound:19482-subject-8534.mp3]	8740	-	Lesson_59 Vocabulary
慶事	Vocabulary	慶, 事	Congratulate, Action	kanji, kanji	Auspicious Event, Happy Event	Auspicious Event, Happy Event					<reading>けいじ</reading>	けいじ		Noun	親しい友人の慶事は自分のことの様にうれしい。	The happy events my close friends have make me as happy as if they were my own.					A <kanji>thing</kanji> that happens that makes you want to <kanji>congratulate</kanji> the person who it happened to makes it an <vocabulary>auspicious event</vocabulary>. You'll remember this for a long, long time. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39352-subject-8535.mp3][sound:19445-subject-8535.mp3]	8741	-	Lesson_59 Vocabulary
弁慶	Vocabulary	弁, 慶	Dialect, Congratulate	kanji, kanji	Strong Person	Strong Person					<reading>べんけい</reading>	べんけい		Noun, Proper Noun	弁慶の泣き所を棚にぶつけたんだ。	I hit my Achilles' heel on a shelf.					You should <kanji>congratulate</kanji> a person who speaks lots of different <kanji>dialect</kanji>s because they have to be a really <vocabulary>strong person</vocabulary> to be able to do it. You think learning Japanese is hard now, just wait till you hear Osaka-ben and Hokkaido-ben. It takes a really strong person to learn all those dialects, so congratulate them and tell them how strong they are!  Fun Fact: <ja>弁慶</ja> is the name of an actual historical figure who was really strong. They were so strong, that we now use their name to refer to all strong people. Think of it like calling someone Hercules or Achilles in Western languages.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39354-subject-8536.mp3][sound:19454-subject-8536.mp3]	8742	-	Lesson_59 Vocabulary
慶祝	Vocabulary	慶, 祝	Congratulate, Celebrate	kanji, kanji	Congratulation, Celebration	Congratulation, Celebration					<reading>けいしゅく</reading>	けいしゅく		Noun, する Verb	慶祝の意を表して、乾杯！	To show our congratulations, a toast!					You <kanji>congratulate</kanji> someone and <kanji>celebrate</kanji> by saying <vocabulary>congratulation</vocabulary>s and having a <vocabulary>celebration</vocabulary>!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39306-subject-8537.mp3][sound:19407-subject-8537.mp3]	8743	-	Lesson_59 Vocabulary
慶弔	Vocabulary	慶, 弔	Congratulate, Condolence	kanji, kanji	Congratulations And Condolences	Congratulations And Condolences					<reading>けいちょう</reading>	けいちょう		Noun	慶弔用の礼服は持っているのか。	Do you have ceremonial dress for celebration and condolences?					If you are saying <kanji>congratulation</kanji>s and also giving your <kanji>condolence</kanji>s then they are <vocabulary>congratulations and condolences</vocabulary>. Pretty easy, right?		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39324-subject-8538.mp3][sound:19418-subject-8538.mp3]	8744	-	Lesson_59 Vocabulary
憂き目	Vocabulary	憂, 目	Grief, Eye	kanji, kanji	Bitterness, Misery, Hardship, Distress	Bitterness, Misery, Hardship, Distress					<reading>うきめ</reading>	うきめ		Noun	失恋の憂き目に遭いました。	I met with the misery of a broken heart.					<kanji>Grief</kanji> shows in your <kanji>eye</kanji>s by making them look like you've gone through a lot of <vocabulary>bitterness</vocabulary> and <vocabulary>hardship</vocabulary>. You can always see it in someone else if you look them in the eyes too.		This word uses the kun'yomi readings for the kanji. You kind of learned this reading for <ja>憂</ja>, but not exactly. Here's a mnemonic to help you remember it:   The <vocabulary>bitterness</vocabulary> that shows in your eyes takes the <reading>ray</reading>s (<ja>れ</ja>) of light out of them, leaving you with just the <ja>う</ja> part of the reading that you know. That's why this reading is just <ja>う</ja> and not <ja>うれ</ja> like the others.		[sound:39240-subject-8539.mp3][sound:19344-subject-8539.mp3]	8745	-	Lesson_59 Vocabulary
憧れ	Vocabulary	憧	Long For	kanji	Yearning, Longing, Aspiration	Yearning, Longing, Aspiration					<reading>あこがれ</reading>	あこがれ		Noun, の Adjective	憧れのダービー、なんとしても勝ちたいです。	I long for the derby and I want to win no matter what it takes.					If you <kanji>long for</kanji> something you'll get feelings of <vocabulary>yearning</vocabulary> and <vocabulary>longing</vocabulary>. Don't worry, some day you'll get whatever it is. 		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading already so you should be able to read it!		[sound:39311-subject-8540.mp3][sound:19414-subject-8540.mp3]	8746	-	Lesson_59 Vocabulary
憧れる	Vocabulary	憧	Long For	kanji	To Long For, To Yearn After, To Admire, To Be Attracted By	To Long For, To Yearn After, To Admire, To Be Attracted By					<reading>あこがれる</reading>	あこがれる		Intransitive Verb, Ichidan Verb	あの先輩に憧れているんです。	I have a crush on that senpai.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>long for</kanji>, so the verb version is <vocabulary>to long for</vocabulary> and <vocabulary>to yearn after</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading already so you should be able to read it!		[sound:39340-subject-8541.mp3][sound:20596-subject-8541.mp3]	8747	-	Lesson_59 Vocabulary
稚拙	Vocabulary	稚, 拙	Immature, Clumsy	kanji, kanji	Unskillful, Childish	Unskillful, Childish					<reading>ちせつ</reading>	ちせつ		Noun, な Adjective	稚拙な文章ですがもしよければ読んでください。	It’s not a very good article, but please read it if you’d like.					<kanji>Clumsy</kanji> and <kanji>immature</kanji> people end up being really <vocabulary>unskillful</vocabulary>. You can't do your job if you're always dropping things and whining, can you? They're usually also really <vocabulary>childish</vocabulary>, if you didn't already guess that.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39265-subject-8542.mp3][sound:19364-subject-8542.mp3]	8748	-	Lesson_59 Vocabulary
模擬	Vocabulary	模, 擬	Imitation, Imitate	kanji, kanji	Imitation, Sham, Mock, Simulation	Imitation, Sham, Mock, Simulation					<reading>もぎ</reading>	もぎ		Noun, の Adjective	模擬試験の結果はどうだったの？	How were the results of the mock exam?					Food that <kanji>imitate</kanji>s an <kanji>imitation</kanji> of some OTHER food, is an even worse <vocabulary>imitation</vocabulary>. You don't want to eat that. It's a <vocabulary>sham</vocabulary>! It's <vocabulary>mock</vocabulary>ing real food! It's probably made of dust and cardboard!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39344-subject-8543.mp3][sound:19438-subject-8543.mp3]	8749	-	Lesson_59 Vocabulary
擬装	Vocabulary	擬, 装	Imitate, Attire	kanji, kanji	Disguise, Camouflage	Disguise, Camouflage					<reading>ぎそう</reading>	ぎそう		Noun, する Verb, の Adjective	食品会社の擬装を許してはいけません。	You must not excuse the food company’s disguise.					Use <kanji>attire</kanji> that <kanji>imitate</kanji>s your surroundings to create a <vocabulary>disguise</vocabulary>. Or throw on some <vocabulary>camouflage</vocabulary> so that no one will be able to find you in Walmart.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39279-subject-8544.mp3][sound:19368-subject-8544.mp3]	8750	-	Lesson_59 Vocabulary
取り敢えず	Vocabulary	取, 敢	Take, Daring	kanji, kanji	For The Time Being, First Of All, At Once, Immediately	For The Time Being, First Of All, At Once, Immediately					<reading>とりあえず</reading>	とりあえず		Adverb, Noun	取り敢えず枝豆とビールをください。	Edamame and beer for now please.					If you only <kanji>take</kanji> <kanji>daring</kanji> and you don't have any yourself, you only have it <vocabulary>for the time being</vocabulary>. It will go away if you can't make it yourself.		This word uses the kun'yomi readings for the kanji. You learned both of these already, so you should be able to read this with no problems!		[sound:39385-subject-8545.mp3][sound:19485-subject-8545.mp3]	8751	-	Lesson_59 Vocabulary
法曹	Vocabulary	法, 曹	Method, Official	kanji, kanji	Lawyer, Legal Profession	Lawyer, Legal Profession					<reading>ほうそう</reading>	ほうそう		Noun	法曹を目指そうと思ったきっかけは何ですか。	What made you pursue your dream of becoming a lawyer?					The <kanji>official</kanji> <kanji>method</kanji> of doing anything requires hiring a <vocabulary>lawyer</vocabulary>. They have to be there when you sign forms or sue people, or it isn't official at all.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39307-subject-8546.mp3][sound:19409-subject-8546.mp3]	8752	-	Lesson_59 Vocabulary
ご無沙汰	Vocabulary	無, 沙, 汰	Nothing, Sand, Select	kanji, kanji, kanji	Neglecting To Contact, Long Silence	Neglecting To Contact, Long Silence					<reading>ごぶさた</reading>	ごぶさた		Noun, する Verb	ご無沙汰しております。	I haven’t seen you in so long.					If you <kanji>select</kanji> to talk to <kanji>nothing</kanji> but <kanji>sand</kanji> for a really long time, you're <vocabulary>neglecting to contact</vocabulary> anyone else. Your relatives miss you! Stop talking to sand and call them!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39312-subject-8547.mp3][sound:19415-subject-8547.mp3]	8753	-	Lesson_59 Vocabulary
流浪	Vocabulary	流, 浪	Stream, Wander	kanji, kanji	Vagrancy, Wandering, Nomadism	Vagrancy, Wandering, Nomadism					<reading>るろう</reading>	るろう		Noun, する Verb	全てのジプシーが貧しい流浪の民というわけではない。	That doesn’t mean all Gypsies are poor, nomadic people.					<kanji>Wander</kanji> from <kanji>stream</kanji> to stream and you'll get really used to <vocabulary>wandering</vocabulary>. You'll love it so much that you'll convert to <vocabulary>nomadism</vocabulary>. The open sky is your home!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39258-subject-8548.mp3][sound:19358-subject-8548.mp3]	8754	-	Lesson_59 Vocabulary
浪費	Vocabulary	浪, 費	Wander, Expense	kanji, kanji	Waste, Extravagance	Waste, Extravagance					<reading>ろうひ</reading>	ろうひ		Noun, する Verb, の Adjective	妻の浪費癖がなかなか治らないんです。	My wife’s wasteful habits were not easily cured.					If you <kanji>wander</kanji> around doing nothing at your own <kanji>expense</kanji> it will be a huge <vocabulary>waste</vocabulary> of money. It's not like you were doing or buying anything important, you were just wandering around, after all. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39270-subject-8549.mp3][sound:19373-subject-8549.mp3]	8755	-	Lesson_59 Vocabulary
放浪	Vocabulary	放, 浪	Release, Wander	kanji, kanji	Wandering, Roaming	Wandering, Roaming					<reading>ほうろう</reading>	ほうろう		Noun, する Verb, の Adjective	当時は、逃げるように各地を転々と放浪していました。	In those days I had to wander from place to place in order to escape.					<kanji>Release</kanji> your worldly ties and <kanji>wander</kanji> the word. You'll get used to <vocabulary>wandering</vocabulary> and you'll spend the rest of your days <vocabulary>roaming</vocabulary> the world until you die. It's quite the life! But you can only do it if you let go of everything else.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39288-subject-8550.mp3][sound:19382-subject-8550.mp3]	8756	-	Lesson_59 Vocabulary
浪人	Vocabulary	浪, 人	Wander, Person	kanji, kanji	Ronin, Masterless Samurai	Ronin, Masterless Samurai, Rounin					<reading>ろうにん</reading>	ろうにん		Noun, する Verb, の Adjective	受験に失敗し、浪人生活に突入しました。	I failed the exam and entered the life of a failed student. 	お前みたいな浪人の要求には応じられないな。	We are unable to comply with the request of a masterless samurai like you.			A <kanji>person</kanji> who <kanji>wander</kanji>s because their lord was killed, is known as a <vocabulary>ronin</vocabulary>, or a <vocabulary>masterless samurai</vocabulary>. Now they're just like the rest of us, but they can't stop wandering because they have nowhere they belong.  In modern times, ronin refers to those who failed their university entrance exams, waiting until for another chance to take the test again.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39293-subject-8551.mp3][sound:19383-subject-8551.mp3]	8757	-	Lesson_59 Vocabulary
浮浪者	Vocabulary	浮, 浪, 者	Float, Wander, Someone	kanji, kanji, kanji	Vagrant, Bum	Vagrant, Bum					<reading>ふろうしゃ</reading>	ふろうしゃ		Noun	浮浪者でも7割の人は何らかの仕事をして日銭を稼いでいる。	70% of vagrants do some kind of work and earn a daily cash income.					<kanji>Someone</kanji> who <kanji>float</kanji>s and <kanji>wander</kanji>s from place to place is a <vocabulary>vagrant</vocabulary>. They don't really have a home, but they keep hanging around yours. It's kind of annoying. (This word has a negative connotation, you wouldn't use it for someone who is just homeless, unless you're really mean.)		This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for <ja>浮</ja> yet, so here's a mnemonic to help you:  All the <vocabulary>vagrant</vocabulary>s you know are <reading>foo</reading>ls (<ja>ふ</ja>). They just left their homes and now they float around your city for no reason. You ask them why and they shrug. You've never seen a better definition of a fool before in your life!		[sound:39374-subject-8552.mp3][sound:19463-subject-8552.mp3]	8758	-	Lesson_59 Vocabulary
漆	Vocabulary	漆	Lacquer	kanji	Lacquer	Lacquer					<reading>うるし</reading>	うるし		Noun	漆の葉を触ると手がかぶれますよ。	If you touch a lacquer leaf you’ll get a rash on your hand.					The kanji and the word are exactly the same. That means they share meanings as well.		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you:   You make <vocabulary>lacquer</vocabulary> out of <reading>u</reading>ni <reading>roo</reading>t <reading>sh*</reading>t (<ja>うるし</ja>). You gotta get deep in the uni to the root of its sh*t and rub it into a paste to make the lacquer. Then rub that on wooden stuff! Yay! Uni root sh*t!		[sound:39236-subject-8553.mp3][sound:19339-subject-8553.mp3]	8759	-	Lesson_59 Vocabulary
