Level	Kanji	Meaning	Meaning Elements	Radical Components	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
35	滞	Stagnate	"<p class=""element-item primary""> Stagnate </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>帯</jp-symbol></span><p>Belt</p></radical><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical></div>"	A <radical>tsunami</radical>, once stopped by a <radical>belt</radical>, will begin to <kanji>stagnate</kanji>. This belt is a belt of water resistance, so the belt stops the tsunami. The belt has caused the tsunami to stagnate.<br><br>  - Hint: Watch this belt as it stagnated the tsunami. See the belt glow as its enchantment activates, immediately stagnating the tsunami water.	Kanji Meaning	-	Kanji_Meaning Level_35
35	破	Tear	"<p class=""element-item primary""> Tear </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>石</jp-symbol></span><p>Stone</p></radical><radical class=""component""><span><jp-symbol>皮</jp-symbol></span><p>Skin</p></radical></div>"	If you scrape a sharp <radical>stone</radical> against your <radical>skin</radical>, it will <kanji>tear</kanji>. The sharp stone tears your skin. It hurts!<br><br>  - Hint: Imagine this sharp stone. Feel its weight in your hand. Now drag the sharp stone against your skin. Feel your skin as it begins to tear. The pain is agonizing.	Kanji Meaning	-	Kanji_Meaning Level_35
35	亀	Turtle	"<p class=""element-item primary""> Turtle </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>亀</jp-symbol></span><p>Turtle</p></radical></div>"	The <radical>turtle</radical> radical and the <kanji>turtle</kanji> kanji are exactly the same! Nice!	Kanji Meaning	-	Kanji_Meaning Level_35
35	酢	Vinegar	"<p class=""element-item primary""> Vinegar </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>酉</jp-symbol></span><p>Alcohol</p></radical><radical class=""component""><span><jp-symbol>乍</jp-symbol></span><p>Key</p></radical></div>"	To make <radical>alcohol</radical> the <radical>key</radical> is to ferment it. But, if you ferment it a certain way, it will become <kanji>vinegar</kanji>.<br><br>  - Hint: Imagine making a bunch of vinegar. You use a key to change it from alcohol to vinegar, yum!	Kanji Meaning	-	Kanji_Meaning Level_35
36	諾	Agreement	"<p class=""element-item primary""> Agreement </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>言</jp-symbol></span><p>Say</p></radical><radical class=""component""><span><jp-symbol>艹</jp-symbol></span><p>Flowers</p></radical><radical class=""component""><span><jp-symbol>右</jp-symbol></span><p>Right</p></radical></div>"	You <radical>say</radical> something and the <radical>flowers</radical> are <radical>right</radical> in <kanji>agreement</kanji>. The flowers see where you are coming from when you say what you say. You and the flowers are in complete agreement.<br><br>  - Hint: What did you say to the flowers that you are so in agreement about? Think about what you said.	Kanji Meaning	-	Kanji_Meaning Level_36
36	盟	Alliance	"<p class=""element-item primary""> Alliance </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>明</jp-symbol></span><p>Bright</p></radical><radical class=""component""><span><jp-symbol>皿</jp-symbol></span><p>Plate</p></radical></div>"	I’ll give you this <radical>bright</radical> <radical>plate</radical> if you agree to an <kanji>alliance</kanji> with me. I know you like things that are bright, and I know you like plates too. Therefore, this bright plate should be more than enough to convince you to enter into an alliance with me.<br><br>  - Hint: Look at this bright plate. Look at it. It’s awesome. It’s blinding. Hold it in your hands. Marvel at it. Wow. This plate is sweet.	Kanji Meaning	-	Kanji_Meaning Level_36
36	債	Debt	"<p class=""element-item primary""> Debt </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>責</jp-symbol></span><p>Blame</p></radical></div>"	Your <radical>leader</radical> gets the <radical>blame</radical> if your company is in <kanji>debt</kanji>. They're the one who led you all into that debt, so they should get the blame too.<br><br>  - Hint: Picture the leader standing up in front of everyone as they blame him. He's holding a plaque with the amount of debt you're all in. Try to imagine what that number would be.	Kanji Meaning	-	Kanji_Meaning Level_36
36	牙	Fang,Tusk	"<p class=""element-item primary""> Fang </p>,<p class=""element-item""> Tusk </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>牙</jp-symbol></span><p>Fang</p></radical></div>"	The <radical>fang</radical> radical and the <kanji>fang</kanji> kanji are exactly the same! Fantastic. Oh, also it means <kanji>tusk</kanji>. It means fang and tusk.<br><br>  - Hint: Since the fang radical is the same as the fang kanji, that should be easy to remember. Tusks aren’t too different from fangs, so that shouldn’t be too hard to remember either.	Kanji Meaning	-	Kanji_Meaning Level_36
36	旧	Former	"<p class=""element-item primary""> Former </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol><i class=""radical-stick""></i></jp-symbol></span><p>Stick</p></radical><radical class=""component""><span><jp-symbol>日</jp-symbol></span><p>Sun</p></radical></div>"	There’s a <radical>stick</radical> next to the <radical>sun</radical>, reflecting on its <kanji>former</kanji> glory. The stick used to be a great tree, and the stick thinks that if it stays by the sun long enough it might return to its former form as a towering tree.<br><br>  - Hint: Pretend you are the stick. Really focus on your former self as you feel the sun warm you with its rays. Imagine yourself growing, larger and larger.	Kanji Meaning	-	Kanji_Meaning Level_36
36	般	Generally,General	"<p class=""element-item primary""> Generally </p>,<p class=""element-item""> General </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>舟</jp-symbol></span><p>Boat</p></radical><radical class=""component""><span><jp-symbol>殳</jp-symbol></span><p>Weapon</p></radical></div>"	A <radical>boat</radical> will have at least one <radical>weapon</radical>, <kanji>generally</kanji>.<br><br>  - Hint: In general, you can assume a boat will have a weapon, but not all of them will.	Kanji Meaning	-	Kanji_Meaning Level_36
36	津	Haven	"<p class=""element-item primary""> Haven </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol>聿</jp-symbol></span><p>Brush</p></radical></div>"	When a <radical>tsunami</radical> comes, the <radical>brush</radical> makes a good safe <kanji>haven</kanji>. Thick brush is a haven from tsunamis because the brush will break the tsunami water and keep you safe and dry.<br><br>  - Hint: Imagine being in the haven of a brush while a tsunami strikes. Hear the water crash and rush all around you while you remain safe in your haven.	Kanji Meaning	-	Kanji_Meaning Level_36
36	療	Heal	"<p class=""element-item primary""> Heal </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>疒</jp-symbol></span><p>Sick</p></radical><radical class=""component""><span><jp-symbol>尞</jp-symbol></span><p>Charcoal</p></radical></div>"	If someone is <radical>sick</radical> feed them <radical>charcoal</radical> to <kanji>heal</kanji> them. Okay, so maybe you shouldn't feed it directly to them, but charcoal has amazing water filtration powers. So put charcoal in their water and the water will heal them right up.<br><br>  - Hint: Imagine being sick. Like sick as a dog sick. And then you take some charcoal, put it into your drinking water, and then you're healed!	Kanji Meaning	-	Kanji_Meaning Level_36
36	継	Inherit	"<p class=""element-item primary""> Inherit </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>糸</jp-symbol></span><p>Thread</p></radical><radical class=""component""><span><jp-symbol>L</jp-symbol></span><p>Lion</p></radical><radical class=""component""><span><jp-symbol>米</jp-symbol></span><p>Rice</p></radical></div>"	With a <radical>thread</radical>, a <radical>lion</radical> sews together all the <radical>rice</radical> he'll <kanji>inherit</kanji> from his parents one day. He's convinced his parents are going to try to keep some of his inheritance from him, so he's linking it all together so it can't go anywhere.<br><br>  - Hint: Picture this lion surrounded by the thousands of grains of rice he'll inherit from his parents. He's carefully threading them all together.	Kanji Meaning	-	Kanji_Meaning Level_36
36	遺	Leave Behind	"<p class=""element-item primary""> Leave Behind </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol><i class=""radical-scooter""></i></jp-symbol></span><p>Scooter</p></radical><radical class=""component""><span><jp-symbol>貴</jp-symbol></span><p>Valuable</p></radical></div>"	When you go on a <radical>scooter</radical>, anything <radical>valuable</radical>, you need to <kanji>leave behind</kanji>.<br><br>  - Hint: Rings, necklaces, wallets, phones? Don't take them on a scooter. Leave behind all that valuable stuff!	Kanji Meaning	-	Kanji_Meaning Level_36
36	維	Maintain	"<p class=""element-item primary""> Maintain </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>糸</jp-symbol></span><p>Thread</p></radical><radical class=""component""><span><jp-symbol>隹</jp-symbol></span><p>Turkey</p></radical></div>"	You tie a piece of <radical>thread</radical> to your <radical>turkey</radical> in order to <kanji>maintain</kanji> proximity to it. The turkey likes to run away, so you tie a thread to it. This way you can hold the other end and maintain your turkey.<br><br>  - Hint: Imagine holding onto a thread that is attached to a turkey. Feel the turkey tug against the thread as you struggle to maintain control.	Kanji Meaning	-	Kanji_Meaning Level_36
36	奈	Nara	"<p class=""element-item primary""> Nara </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>大</jp-symbol></span><p>Big</p></radical><radical class=""component""><span><jp-symbol>示</jp-symbol></span><p>Jackhammer</p></radical></div>"	There is a <radical>big</radical> <radical>jackhammer</radical> in <kanji>Nara</kanji>. That jackhammer is the biggest in all the land and is on display in Nara, Japan.<br><br>  - Hint: Look at this big jackhammer. Look at it. It’s so big. Also it’s in Nara. Imagine being in Nara and looking at this big jackhammer. You’re all like, dang – that’s a big jackhammer.	Kanji Meaning	-	Kanji_Meaning Level_36
36	核	Nucleus	"<p class=""element-item primary""> Nucleus </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>亥</jp-symbol></span><p>Slice</p></radical></div>"	You take a <radical>tree</radical> and <radical>slice</radical> it until you reach its <kanji>nucleus</kanji>. To get to the nucleus of the tree you have to make many a slice, but it’s possible.<br><br>  - Hint: Imagine slicing this tree smaller and smaller until you finally get to the nucleus of it. It’s super tiny so you have to view it in a microscope. What does it look like?	Kanji Meaning	-	Kanji_Meaning Level_36
36	廃	Obsolete	"<p class=""element-item primary""> Obsolete </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>广</jp-symbol></span><p>Canopy</p></radical><radical class=""component""><span><jp-symbol>発</jp-symbol></span><p>Departure</p></radical></div>"	This <radical>canopy</radical>, after your <radical>departure</radical>, will become <kanji>obsolete</kanji>. The canopy was here to protect you, but no one will need it once you're gone.<br><br>  - Hint: During your departure you look back at the obsolete canopy just once. It's standing there, still and alone. It's a really sad sight.	Kanji Meaning	-	Kanji_Meaning Level_36
36	献	Offer	"<p class=""element-item primary""> Offer </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>南</jp-symbol></span><p>South</p></radical><radical class=""component""><span><jp-symbol>犬</jp-symbol></span><p>Dog</p></radical></div>"	The <radical>South</radical> <radical>Dog</radical> gives you an <kanji>offer</kanji>. None of the other dogs in the North, East, or West offered you anything.<br><br>  - Hint: It is well known that dogs in the South are famous for their kindness and hospitality. It's customary to always offer something when a guest arrives.	Kanji Meaning	-	Kanji_Meaning Level_36
36	沖	Open Sea	"<p class=""element-item primary""> Open Sea </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol>中</jp-symbol></span><p>Middle</p></radical></div>"	There is a <radical>tsunami</radical> in the <radical>middle</radical> of the <kanji>open sea</kanji>. Luckily there are no ships around, so the tsunami in the middle of the open sea is not damaging to anyone.<br><br>  - Hint: Look at this tsunami in the middle of the open sea. When the tsunami isn’t destroying things and is just out there in the open sea it looks really majestic and pretty.	Kanji Meaning	-	Kanji_Meaning Level_36
36	摘	Pluck	"<p class=""element-item primary""> Pluck </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>扌</jp-symbol></span><p>Fingers</p></radical><radical class=""component""><span><jp-symbol>啇</jp-symbol></span><p>Mohawk</p></radical></div>"	Stick your <radical>fingers</radical> in your <radical>mohawk</radical> and <kanji>pluck</kanji> each hair out, one by one.<br><br>  - Hint: Imagine plucking the hairs out of your mohawk with your fingers. It's kind of hard to grab onto them at first, but eventually you're plucking them like it's nothing.	Kanji Meaning	-	Kanji_Meaning Level_36
36	及	Reach	"<p class=""element-item primary""> Reach </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>及</jp-symbol></span><p>Escalator</p></radical></div>"	<radical>Escalator</radical>s are used to <kanji>reach</kanji> things.<br><br>  - Hint: Imagine yourself on an escalator. What is up above that you’re trying to reach?	Kanji Meaning	-	Kanji_Meaning Level_36
36	依	Reliant,Dependent	"<p class=""element-item primary""> Reliant </p>,<p class=""element-item""> Dependent </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>衣</jp-symbol></span><p>Clothes</p></radical></div>"	A <radical>leader</radical> has <radical>clothes</radical> that he is quite <kanji>reliant</kanji> on. The leader needs his clothes to make him look like a leader. The leader has become more reliant on his clothes than he is on his actual skills as a leader!<br><br>  - Hint: Imagine this leader in his clothes. Look how reliant he is on them. Imagine what he would be without his clothes – nothing! And also, naked.	Kanji Meaning	-	Kanji_Meaning Level_36
36	縄	Rope	"<p class=""element-item primary""> Rope </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>糸</jp-symbol></span><p>Thread</p></radical><radical class=""component""><span><jp-symbol>亀</jp-symbol></span><p>Turtle</p></radical></div>"	Someone <radical>thread</radical>ed a <radical>turtle</radical> into long skinny pieces, making a <kanji>rope</kanji>.<br><br>  - Hint: A rope made of threaded turtles. Go ahead and grab onto it and see how it feels. A little rough, but strong.	Kanji Meaning	-	Kanji_Meaning Level_36
36	鮭	Salmon	"<p class=""element-item primary""> Salmon </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>魚</jp-symbol></span><p>Fish</p></radical><radical class=""component""><span><jp-symbol>土</jp-symbol></span><p>Dirt</p></radical></div>"	What kind of <radical>fish</radical> jumps from <radical>dirt</radical> to <radical>dirt</radical>? A <kanji>salmon</kanji>!<br><br>  - Hint: When you're at the river watching salmon jumping up stream, they keep jumping onto the dirt, flopping back into the water, then doing it again.	Kanji Meaning	-	Kanji_Meaning Level_36
36	伸	Stretch	"<p class=""element-item primary""> Stretch </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>申</jp-symbol></span><p>Humble</p></radical></div>"	A <radical>leader</radical> who's <radical>humble</radical> will <kanji>stretch</kanji> in front of everyone. They'll show that they have to get up every hour or so and stretch just like the rest of us.<br><br>  - Hint: The leader is humble and human, just like the rest of us, and has to stretch to stay healthy too. He's not some kind of god!	Kanji Meaning	-	Kanji_Meaning Level_36
36	姓	Surname,Family Name	"<p class=""element-item primary""> Surname </p>,<p class=""element-item""> Family Name </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>女</jp-symbol></span><p>Woman</p></radical><radical class=""component""><span><jp-symbol>生</jp-symbol></span><p>Life</p></radical></div>"	That special <radical>woman</radical> in your <radical>life</radical> will eventually take your <kanji>surname</kanji> and make it her <kanji>family name</kanji> too. Traditionally, a woman will change her last name when she gets married and keep that name for the rest of her life. Her husband’s family name becomes her family name too.<br><br>  - Hint: Imagine having your surname changed for the rest of your life. How do you feel about having a different family name? Is it a big deal to you or does it not matter much?	Kanji Meaning	-	Kanji_Meaning Level_36
36	貿	Trade	"<p class=""element-item primary""> Trade </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ム</jp-symbol></span><p>Private</p></radical><radical class=""component""><span><jp-symbol>刀</jp-symbol></span><p>Sword</p></radical><radical class=""component""><span><jp-symbol>貝</jp-symbol></span><p>Shellfish</p></radical></div>"	You send your <radical>private</radical> <radical>sword</radical> man out with your <radical>shellfish</radical> so he can <kanji>trade</kanji> them. Shellfish were used as currency back in the olden days. And you aren't going to go out trading and dirty your own hands, no no. Trading your shellfish is the job for the private sword you hired!<br><br>  - Hint: Imagine your private sword holding a big bag of shellfish and going off to market to trade them.	Kanji Meaning	-	Kanji_Meaning Level_36
36	幅	Width	"<p class=""element-item primary""> Width </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>巾</jp-symbol></span><p>Towel</p></radical><radical class=""component""><span><jp-symbol>畐</jp-symbol></span><p>Scarecrow</p></radical></div>"	You want to put this <radical>towel</radical> over this <radical>scarecrow</radical>, but you have to measure its <kanji>width</kanji> first. If the towel doesn't have a greater width than the scarecrow, some of it will be showing. Which you definitely don't want.<br><br>  - Hint: The scarecrow creeps you out. You don't want to look at it anymore, so you're standing eerily close to it measuring its width, so you can hide it forever.	Kanji Meaning	-	Kanji_Meaning Level_36
37	患	Afflicted	"<p class=""element-item primary""> Afflicted </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>串</jp-symbol></span><p>Skewer</p></radical><radical class=""component""><span><jp-symbol>心</jp-symbol></span><p>Heart</p></radical></div>"	A <radical>skewer</radical> to the <radical>heart</radical> has <kanji>afflicted</kanji> your health. You’ve been afflicted with a disease from the skewer to your heart. Your affliction is death. You’re dying.<br><br>  - Hint: You did not wish to be afflicted as such. Feel the skewer in your heart and the great pain it gives you. You know you’re dying.	Kanji Meaning	-	Kanji_Meaning Level_37
37	狙	Aim	"<p class=""element-item primary""> Aim </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>犭</jp-symbol></span><p>Animal</p></radical><radical class=""component""><span><jp-symbol>且</jp-symbol></span><p>Top Hat</p></radical></div>"	You see an <radical>animal</radical> wearing a <radical>top hat</radical> and decide to <kanji>aim</kanji> at it. The top hat is a perfect, giant target you use to take down this animal.<br><br>  - Hint: It's much easier to aim for an animal wearing a top hat than one without.	Kanji Meaning	-	Kanji_Meaning Level_37
37	陣	Army Base	"<p class=""element-item primary""> Army Base </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>阝</jp-symbol></span><p>Building</p></radical><radical class=""component""><span><jp-symbol>車</jp-symbol></span><p>Car</p></radical></div>"	This <radical>building</radical> is full of <radical>car</radical>s because it's an <kanji>army base</kanji>. The cars (and tanks and planes) need to be ready to go at any moment just like the soldiers.<br><br>  - Hint: Picture a giant army base housing all of the different cars the army needs at any given time.	Kanji Meaning	-	Kanji_Meaning Level_37
37	塁	Base,Baseball Base	"<p class=""element-item primary""> Base </p>,<p class=""element-item""> Baseball Base </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>田</jp-symbol></span><p>Rice Paddy</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-explosion""></i></jp-symbol></span><p>Explosion</p></radical><radical class=""component""><span><jp-symbol>土</jp-symbol></span><p>Dirt</p></radical></div>"	There's an <radical>explosion</radical> in the <radical>dirt</radical> under a <radical>rice paddy</radical>, exposing the hidden <kanji>base</kanji> under there. A base from baseball! I guess this rice paddy was built on top of an old baseball field...<br><br>  - Hint: Picture a serene rice paddy. Now watch the whole thing explode, rice and dirt going everywhere, and a secret, underground baseball base is left there, smoldering.	Kanji Meaning	-	Kanji_Meaning Level_37
37	葬	Burial	"<p class=""element-item primary""> Burial </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>艹</jp-symbol></span><p>Flowers</p></radical><radical class=""component""><span><jp-symbol>歹</jp-symbol></span><p>Yakuza</p></radical><radical class=""component""><span><jp-symbol>匕</jp-symbol></span><p>Spoon</p></radical><radical class=""component""><span><jp-symbol>廾</jp-symbol></span><p>Twenty</p></radical></div>"	You brought <radical>flowers</radical> to place on top of the place where a <radical>yakuza</radical> took a <radical>spoon</radical> and killed <radical>twenty</radical> people, and there is now a <kanji>burial</kanji> happening. You carefully toss the flowers in with the dirt and everything is buried together.<br><br>  - Hint: This is the biggest burial you've ever seen. The hole is huge. It has to fit twenty people, after all, and the spoon didn't cut them up to make things any easier.	Kanji Meaning	-	Kanji_Meaning Level_37
37	崩	Crumble	"<p class=""element-item primary""> Crumble </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>山</jp-symbol></span><p>Mountain</p></radical><radical class=""component""><span><jp-symbol>月</jp-symbol></span><p>Moon</p></radical></div>"	Below this <radical>mountain</radical>, a <radical>moon</radical> and another <radical>moon</radical> crash into each other and the entire thing <kanji>crumble</kanji>s to pieces.<br><br>  - Hint: Watch as the moons crumble together, and then the mountain slowly crumbles down into them too.	Kanji Meaning	-	Kanji_Meaning Level_37
37	掲	Display	"<p class=""element-item primary""> Display </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>扌</jp-symbol></span><p>Fingers</p></radical><radical class=""component""><span><jp-symbol>日</jp-symbol></span><p>Sun</p></radical><radical class=""component""><span><jp-symbol>勹</jp-symbol></span><p>Prison</p></radical><radical class=""component""><span><jp-symbol>匕</jp-symbol></span><p>Spoon</p></radical></div>"	You're in <radical>prison</radical>, but you can use your <radical>fingers</radical> and a <radical>spoon</radical> in the light of the <radical>sun</radical> to <kanji>display</kanji> little moving pictures on your cell wall. It's like a shadow puppet display except you can only make a few characters with your limited hand tools.<br><br>  - Hint: Imagine displaying your two favorite characters in the shadows on your prison cell walls. This one is mister fingers and this one is missus spoon. They're best friends.	Kanji Meaning	-	Kanji_Meaning Level_37
37	恵	Favor	"<p class=""element-item primary""> Favor </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>十</jp-symbol></span><p>Cross</p></radical><radical class=""component""><span><jp-symbol>田</jp-symbol></span><p>Rice Paddy</p></radical><radical class=""component""><span><jp-symbol>心</jp-symbol></span><p>Heart</p></radical></div>"	You carry a <radical>cross</radical> across a <radical>rice paddy</radical> with a <radical>heart</radical> on it to return a <kanji>favor</kanji> for your friend. The heart needs to be purified so that’s why you have it on the cross and your friend lives on a rice paddy farm so that’s why you’re running through that. The favor you are paying your friend back with is getting him this heart. He needs a new one and you’re providing it.<br><br>  - Hint: This is a pretty big favor. Imagine running through a rice paddy carrying a cross with a warm beating heart on it. Thump thump. Thump thump.	Kanji Meaning	-	Kanji_Meaning Level_37
37	漁	Fishing	"<p class=""element-item primary""> Fishing </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol>魚</jp-symbol></span><p>Fish</p></radical></div>"	A <radical>tsunami</radical> pushes all the <radical>fish</radical> closer to land, making for some easy <kanji>fishing</kanji>. The tsunami starts out in the middle of the ocean and pushes all the fish towards the coast where everyone does their fishing. With all the fish pushed closer to land and closer together, it’s very easy for people to go fishing in one spot and catch a lot of fish.<br><br>  - Hint: Imagine going fishing for fish in a fishing spot after a tsunami. There are SO many fish here. Your hook barely touches the water and there’s already a fish on it. Man, fishing like this is easy! Smell the smell of fish and sea air around you.	Kanji Meaning	-	Kanji_Meaning Level_37
37	湾	Gulf	"<p class=""element-item primary""> Gulf </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol>赤</jp-symbol></span><p>Red</p></radical><radical class=""component""><span><jp-symbol>弓</jp-symbol></span><p>Bow</p></radical></div>"	A <radical>tsunami</radical> dug out a chunk of the land and now it looks like a big <radical>red</radical> <radical>bow</radical>. It's a <kanji>gulf</kanji> now!<br><br>  - Hint: Picture all the famous gulfs you learned about in geography class. Most of them look like someone pressed a bow into them and dug out the land. (And just imagine they're red because the earth is bleeding, making the sand red.)	Kanji Meaning	-	Kanji_Meaning Level_37
37	跳	Hop	"<p class=""element-item primary""> Hop </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>足</jp-symbol></span><p>Foot</p></radical><radical class=""component""><span><jp-symbol>兆</jp-symbol></span><p>Omen</p></radical></div>"	"Your <radical>foot</radical> heard an <radical>omen</radical> and now it's making you <kanji>hop</kanji> over things.<br><br>  - Hint: Imagine your foot hearing this omen, ""If you step on a crack, you'll break your mother's back."" Now your foot hops over all of the tiny cracks in the street and the sidewalk and you look really silly."	Kanji Meaning	-	Kanji_Meaning Level_37
37	旬	In Season,Time Of Month,Season	"<p class=""element-item primary""> In Season </p>,<p class=""element-item""> Time Of Month </p>,<p class=""element-item""> Season </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>勹</jp-symbol></span><p>Prison</p></radical><radical class=""component""><span><jp-symbol>日</jp-symbol></span><p>Sun</p></radical></div>"	Put the <radical>sun</radical> in <radical>prison</radical> and everything will always be <kanji>in season</kanji>. If the sun is in prison, the seasons can't change. Want to wear a giant weenie costume all year round? Put the sun in prison on Halloween. Now your weenie body is always in season because it's always the same <kanji>time of month</kanji>.<br><br>  - Hint: You're welcome. Now you know how to keep everything in season. Lifehack!	Kanji Meaning	-	Kanji_Meaning Level_37
37	聴	Listen	"<p class=""element-item primary""> Listen </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>耳</jp-symbol></span><p>Ear</p></radical><radical class=""component""><span><jp-symbol>十</jp-symbol></span><p>Cross</p></radical><radical class=""component""><span><jp-symbol>罒</jp-symbol></span><p>Net</p></radical><radical class=""component""><span><jp-symbol>心</jp-symbol></span><p>Heart</p></radical></div>"	When your <radical>ear</radical> is <radical>cross</radical>ed with sound, it catches it like a <radical>net</radical>, and sends it to your <radical>heart</radical> for processing. Because you're using your heart to process this sound, it means you're giving it a proper <kanji>listen</kanji>.<br><br>  - Hint: Imagine the whole process of sound going through your ear and to your heart, then the gears turning to really understand what someone is saying. It's a real listen, not a fake non-heart listen.	Kanji Meaning	-	Kanji_Meaning Level_37
37	臨	Look To	"<p class=""element-item primary""> Look To </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>臣</jp-symbol></span><p>Servant</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-gun""></i></jp-symbol></span><p>Gun</p></radical><radical class=""component""><span><jp-symbol>品</jp-symbol></span><p>Products</p></radical></div>"	You give your <radical>servant</radical> a <radical>gun</radical> along with some other <radical>products</radical> to <kanji>look to</kanji>. You can’t look to them yourself since you are very busy. You allow your servant to look to your gun and the other products.<br><br>  - Hint: Imagine your servant as he looks to your gun and products. You can always look to him to take care of your menial tasks. You feel smug.	Kanji Meaning	-	Kanji_Meaning Level_37
37	兆	Omen	"<p class=""element-item primary""> Omen </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>兆</jp-symbol></span><p>Omen</p></radical></div>"	The <radical>omen</radical> radical and the <kanji>omen</kanji> kanji are the same!<br><br>  - Hint: If you know the omen radical, you know the omen kanji as well!	Kanji Meaning	-	Kanji_Meaning Level_37
37	契	Pledge	"<p class=""element-item primary""> Pledge </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>生</jp-symbol></span><p>Life</p></radical><radical class=""component""><span><jp-symbol>刀</jp-symbol></span><p>Sword</p></radical><radical class=""component""><span><jp-symbol>大</jp-symbol></span><p>Big</p></radical></div>"	The weight of <radical>life</radical> on your <radical>sword</radical> is <radical>big</radical> when you <kanji>pledge</kanji> to protect your city. That's the big, big weight of every single person's life in that city pressing down on you every time you take out that sword.<br><br>  - Hint: Imagine holding up your sword and pledging to protect the lives of everyone in this city. It's a big deal!	Kanji Meaning	-	Kanji_Meaning Level_37
37	刑	Punish	"<p class=""element-item primary""> Punish </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>开</jp-symbol></span><p>Lantern</p></radical><radical class=""component""><span><jp-symbol>刂</jp-symbol></span><p>Knife</p></radical></div>"	Destroy a <radical>lantern</radical> with your <radical>knife</radical> and you'll be <kanji>punish</kanji>ed.<br><br>  - Hint: Even if it was your own lantern, why stab it with a knife? You could have recycled that. I will punish you for lantern stabbing and pollution!	Kanji Meaning	-	Kanji_Meaning Level_37
