Level	Radical	Meaning	Meaning Elements	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
15	句	Paragraph	"<p class=""element-item primary"">Paragraph</p>"	You're locking the things that come out of your mouth in prison. The prison of paper and rules, that is. These words turn into well-formed <radical>paragraph</radical>s.	Radical	-	Level_15 Radical Genki_L17
31	离	Rocket	"<p class=""element-item primary"">Rocket</p>"	This is a very complicated and tall radical. It has a lid on top to keep the explosiveness in. It also contains a treasure, at least for the people who will receive what's inside. Also, it has a cow, which will be used for milk on Mars. This is a <radical>rocket</radical> filled with goodies for space people.	Radical	-	Level_31 Radical Genki_L17
22	弗	Dollar	"<p class=""element-item primary"">Dollar</p>"	This is a squiggle with two lines through it. Hmmm doesn't that seem familiar? It should, because it's the <radical>dollar</radical> symbol: $. Well, close enough. Just look at this and think, ah yes, a totally normal American dollar.	Radical	-	Level_22 Radical Genki_L17
23	丩	Vines	"<p class=""element-item primary"">Vines</p>"	This radical is made up of two <radical>vines</radical> hanging down and a branch linking them together. Imagine swinging on these Tarzan style. AaaaAA aAA AAAaaaa!	Radical	-	Level_23 Radical Genki_L18
24	受	Accept	"<p class=""element-item primary"">Accept</p>"	This radical is the same as the kanji. It means <radical>accept</radical>.	Radical	-	Level_24 Radical Genki_L18
30	甲	Turtle Shell	"<p class=""element-item primary"">Turtle Shell</p>"	Poor turtles. We don't like them here. This is a <radical>turtle shell</radical>. See the shell with just a tail remaining? It's the only thing we didn't remove off the turtle. It's just a shell with a tail, so basically it's just a turtle shell.	Radical	-	Level_30 Radical Genki_L18
33	蔵	Storehouse	"<p class=""element-item primary"">Storehouse</p>"	Your flowers become your servants. You plant them, you water them, you bring them up, then you cut them down and put them in your <radical>storehouse</radical>. They do what you want because they become YOUR servants, not the other way around. That's why you can tell them to sit in the storehouse where they wait until you come to eat them.	Radical	-	Level_33 Radical Genki_L18
44	竜	Dragon	"<p class=""element-item primary"">Dragon</p>"	A turtle that stands up isn't a turtle anymore. It's evolved into a monster. What kind of monster? A <radical>dragon</radical>! Rawwwr.	Radical	-	Level_44 Radical Genki_L18
28	奇	Odd	"<p class=""element-item primary"">Odd</p>"	A big lip ring is a pretty <radical>odd</radical> thing to have. If it's big, it'll stretch your lip out, which is odd too.	Radical	-	Level_28 Radical Genki_L19
38	思	Think	"<p class=""element-item primary"">Think</p>"	This radical is the same as the kanji. It means <radical>think</radical>.	Radical	-	Level_38 Radical Genki_L19
12	直	Fix	"<p class=""element-item primary"">Fix</p>"	This radical is the same as the kanji. It means <radical>fix</radical>.	Radical	-	Level_12 Radical Genki_L20
20	至	Mole	"<p class=""element-item primary"">Mole</p>"	There's trash on some dirt that seems to be... moving? If you lift up that trash you'll find a <radical>mole</radical> in the dirt! Moles like to dig around underground and look for stuff to grab (like trash). They're the raccoons of the ground.	Radical	-	Level_20 Radical Genki_L20
46	太	Fat	"<p class=""element-item primary"">Fat</p>"	This radical is the same as the kanji. It means <radical>fat</radical>.	Radical	-	Level_46 Radical Genki_L20
55	疑	Doubt	"<p class=""element-item primary"">Doubt</p>"	This radical is the same as the kanji. It means <radical>doubt</radical>.	Radical	-	Level_55 Radical Genki_L20
19	右	Right	"<p class=""element-item primary"">Right</p>"	This radical is the same as the kanji. It means <radical>right</radical>.	Radical	-	Level_19 Radical Genki_L21
23	道	Road	"<p class=""element-item primary"">Road</p>"	This radical is the same as the kanji. It means <radical>road</radical>.	Radical	-	Level_23 Radical Genki_L21
25	甫	Wedding	"<p class=""element-item primary"">Wedding</p>"	This radical looks like someone wearing a giant dress who has a tear in their eye. This is a person at their <radical>wedding</radical>. That explains the big dress and the tear (of happiness!) in their eye.	Radical	-	Level_25 Radical Genki_L21
38	県	Prefecture	"<p class=""element-item primary"">Prefecture</p>"	This radical is the same as the kanji. It means <radical>prefecture</radical>.	Radical	-	Level_38 Radical Genki_L21
43	龍	Imperial	"<p class=""element-item primary"">Imperial</p>"	Stand up on the moon so you can look down on your countries. The thing with all the lines and borders are the borders of all the countries you rule, for you are an <radical>imperial</radical>.	Radical	-	Level_43 Radical Genki_L21
29	区	District	"<p class=""element-item primary"">District</p>"	This radical is the same as the kanji. It means <radical>district</radical>.	Radical	-	Level_29 Radical Genki_L21
15	男	Man	"<p class=""element-item primary"">Man</p>"	This radical is the same as the kanji. It means <radical>man</radical>.	Radical	-	Level_15 Radical Genki_L22
18	午	Noon	"<p class=""element-item primary"">Noon</p>"	This radical is the same as the kanji. It means <radical>noon</radical>.	Radical	-	Level_18 Radical Genki_L22
22	安	Cheap	"<p class=""element-item primary"">Cheap</p>"	This radical is the same as the kanji. It means <radical>cheap</radical>.	Radical	-	Level_22 Radical Genki_L22
30	"<i class=""radical-hills""></i>"	Hills	"<p class=""element-item primary"">Hills</p>"	See the rolling <radical>hills</radical> with the road going off into the background to another hill? That's why this is the hills radical.	Radical	-	Level_30 Radical Genki_L22
37	兆	Omen	"<p class=""element-item primary"">Omen</p>"	There's an explosion around your legs. It was just as the fortune teller warned. This is the <radical>omen</radical> she was talking about. Think about what happens after the omen hits. What horrible fortune teller magic will happen???	Radical	-	Level_37 Radical Genki_L22
39	㐮	Nurse	"<p class=""element-item primary"">Nurse</p>"	This radical is made up of blackjack and clothes with the six kanji on top. If you see six people playing blackjack and wearing the same clothes you should know that they're all <radical>nurse</radical>s. Nurses play blackjack together to cool down between shifts and they usually don't have time to change out of their uniforms. That's why this radical is nurse.	Radical	-	Level_39 Radical Genki_L22
21	番	Number	"<p class=""element-item primary"">Number</p>"	"This radical is the same as the kanji, but ""number in a series"" is too long. Let's shorten it to <radical>number</radical>."	Radical	-	Level_21 Radical Genki_L22
13	"<i class=""radical-creeper""></i>"	Creeper	"<p class=""element-item primary"">Creeper</p>"	Do you see the little mustache on top of the mouth? It's one of those creepy mustaches... a John Waters sort of deal. That's why this radical is called <radical>creeper</radical>. (It also bears some resemblance to a certain hissing green thing's head but... well, you remember it how you want.)	Radical	-	Level_13 Radical Genki_L23
16	壴	Drum	"<p class=""element-item primary"">Drum</p>"	This radical is made up of samurai and beans. Samurai used to put beans in <radical>drum</radical>s so they could tap and shake them to make noise. Can you imagine shaking and tapping this drum radical?	Radical	-	Level_16 Radical Genki_L23
21	半	Half	"<p class=""element-item primary"">Half</p>"	This radical is the same as the kanji. It means <radical>half</radical>.	Radical	-	Level_21 Radical Genki_L23
25	交	Mix	"<p class=""element-item primary"">Mix</p>"	This radical is the same as the kanji. It means <radical>mix</radical>.	Radical	-	Level_25 Radical Genki_L23
11	申	Humble	"<p class=""element-item primary"">Humble</p>"	This radical is the same as the kanji you learned earlier, but the meaning is a little different. It's not just for saying things humbly, it's for being <radical>humble</radical> in general. When you see this radical, think about being humble.	Radical	-	Level_11 Radical Genki_L23
19	我	Ego	"<p class=""element-item primary"">Ego</p>"	There's a drunkard holding out his fingers. He's staring at them. Realizing who he is. He's becoming aware of his <radical>ego</radical>. Now that he's aware of himself, he's probably going to get an inflated ego too. Yuck.	Radical	-	Level_19 Radical Genki_L23
35	彑	Shuriken	"<p class=""element-item primary"">Shuriken</p>"	See the <radical>shuriken</radical> stuck into the ground? In case you don't know, a shuriken is just a throwing star. Awesome ninjas use them. That's what's in this radical.	Radical	-	Level_35 Radical Genki_L23
31	郎	Guy	"<p class=""element-item primary"">Guy</p>"	This radical is the same as the kanji. It means <radical>guy</radical>.	Radical	-	Level_31 Radical Genki_L23
39	岡	Hill	"<p class=""element-item primary"">Hill</p>"	This radical is the same as the kanji. It means <radical>hill</radical>.	Radical	-	Level_39 Radical Genki_L23
