胃	Radical				Stomach	Stomach															This radical is the same as the kanji. It means <radical>stomach</radical>.					7664	-	Lesson_51 radical
召す	Vocabulary	召	Call	kanji	To Respectfully Call, To Respectfully Invite, To Respectfully Eat, To Respectfully Drink	To Respectfully Call, To Respectfully Invite, To Respectfully Eat, To Respectfully Drink					<reading>めす</reading>	めす		Transitive Verb, Godan Verb	あなたのお姉さまは神に召されたのですよ。	Your older sister was called by the gods.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>call</kanji>, so the verb version is <vocabulary>to respectfully call</vocabulary>. It can also be used as <vocabulary>to respectfully eat</vocabulary> or <vocabulary>to respectfully invite</vocabulary> too. It's a really useful word like that. As long as you remember it's the respectful/honorific way of doing things you should be fine.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   If you want <vocabulary>to respectfully call</vocabulary> out to someone you need to make sure you don't look them in the <ja><reading>目</reading></ja> (<ja>め</ja>) because that's super rude. Always remember to turn your <ja>目</ja> away to show respect.		[sound:37901-subject-7787.mp3][sound:17989-subject-7787.mp3]	7704	-	Lesson_51 Vocabulary
喚起	Vocabulary	喚, 起	Scream, Wake Up	kanji, kanji	Awaken, Rouse, Evoke, Excite	Awaken, Rouse, Evoke, Excite					<reading>かんき</reading>	かんき		Noun, する Verb	大学の入学式で、学生たちに飲酒やカルト宗教についての注意喚起が行われました。	At the university entrance ceremony the students were alerted to the dangers of alcohol and cults.					If you <kanji>scream</kanji> <kanji>wake up</kanji>! at someone you can bet they're going to <vocabulary>awaken</vocabulary>. Screaming anything at a sleeping person would probably <vocabulary>rouse</vocabulary> them. They'll probably be mad at you though.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37904-subject-7788.mp3][sound:18007-subject-7788.mp3]	7705	-	Lesson_51 Vocabulary
喚く	Vocabulary	喚	Scream	kanji	To Shout, To Scream	To Shout, To Scream					<reading>わめく</reading>	わめく		Intransitive Verb, Godan Verb	酔っぱらいが喚いているんだよ。	A drunk guy is shouting.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>scream</kanji>, so the verb version is <vocabulary>to scream</vocabulary> or <vocabulary>to shout</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   If you want <vocabulary>to shout</vocabulary> at someone you should pick a word that will really hit them. Give them a big <reading>whammy</reading> (<ja>わめ</ja>) to the face! Hey, that word works. Shout WHAMMY!		[sound:37959-subject-7789.mp3][sound:18030-subject-7789.mp3]	7706	-	Lesson_51 Vocabulary
召喚	Vocabulary	召, 喚	Call, Scream	kanji, kanji	Summon, Summons	Summon, Summons					<reading>しょうかん</reading>	しょうかん		Noun, する Verb, の Adjective	魔法使いを召喚しました。	I summoned a magician.					If you <kanji>call</kanji> someone by <kanji>scream</kanji>ing, you're probably trying to <vocabulary>summon</vocabulary> them like a magician would. Magicians have to scream their spells out in order for them to work. So you have to scream out their name when you call them if you want to summon someone.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37858-subject-7790.mp3][sound:17956-subject-7790.mp3]	7707	-	Lesson_51 Vocabulary
塚	Vocabulary	塚	Mound	kanji	Mound, Burial Mound	Mound, Burial Mound					<reading>つか</reading>	つか		Noun	塚を見下ろすことのは失礼です。	It’s rude to look down at a burial mound.					The kanji and the word are exactly the same. That means they share meanings as well. Usually these types of <vocabulary>mound</vocabulary>s are <vocabulary>burial mound</vocabulary>s. (There's bodies under there!)		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:37919-subject-7791.mp3][sound:18021-subject-7791.mp3]	7708	-	Lesson_51 Vocabulary
愛媛県	Vocabulary	愛, 媛, 県	Love, Princess, Prefecture	kanji, kanji, kanji	Ehime Prefecture	Ehime Prefecture					<reading>えひめけん</reading>	えひめけん		Proper Noun	私は愛媛県の出身です。	I am from Ehime Prefecture.					The <kanji>prefecture</kanji> in Japan where they <kanji>love</kanji> <kanji>princess</kanji>es is <vocabulary>Ehime Prefecture</vocabulary>.		"This reading is a little messy. This reading for <ja>愛</ja> is an exception, <ja>媛</ja> uses the kun'yomi reading <ja>ひめ</ja>, and <ja>県</ja> uses the on'yomi reading <ja>けん</ja>. Here's a mnemonic to help you remember this reading for <ja>愛</ja>:  If you ask anyone outside of <vocabulary>Ehime Prefecture</vocabulary> what they think of princesses they'll respond with, ""<reading>Eh</reading>"" (<ja>え</ja>). They don't really care either way. If someone from Ehime heard that they'd says, ""EH? EH?! Princesses are the BEST!"""		[sound:37937-subject-7792.mp3][sound:18053-subject-7792.mp3]	7709	-	Lesson_51 Vocabulary
慈悲	Vocabulary	慈, 悲	Mercy, Sad	kanji, kanji	Compassion, Benevolence, Charity, Mercy	Compassion, Benevolence, Charity, Mercy					<reading>じひ</reading>	じひ		Noun	祖母は本当に慈悲深い人だった。	My grandmother was a really compassionate person.					If you have <kanji>mercy</kanji> for people who are <kanji>sad</kanji> you have a lot of <vocabulary>compassion</vocabulary>. You just can't help but go easy on sad people.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37895-subject-7793.mp3][sound:17998-subject-7793.mp3]	7710	-	Lesson_51 Vocabulary
慈愛	Vocabulary	慈, 愛	Mercy, Love	kanji, kanji	Affection, Kindness, Love	Affection, Kindness, Love					<reading>じあい</reading>	じあい		Noun	彼女は慈愛に満ちた微笑を僕に向けた。	She turned her affectionate smile toward me.					When you have <kanji>mercy</kanji> upon those you <kanji>love</kanji> it's called <vocabulary>affection</vocabulary>. You end up doing things out of the <vocabulary>kindness</vocabulary> of your heart because they mean a lot to you.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37810-subject-7794.mp3][sound:17894-subject-7794.mp3]	7711	-	Lesson_51 Vocabulary
慈善	Vocabulary	慈, 善	Mercy, Morally Good	kanji, kanji	Charity, Philanthropy	Charity, Philanthropy					<reading>じぜん</reading>	じぜん		Noun, の Adjective	この本は慈善事業支援の目的で出版されました。	This book was published for the purpose of supporting charitable projects. 					A <kanji>morally good</kanji> person who has <kanji>mercy</kanji> upon people gives to <vocabulary>charity</vocabulary>. These people prove they're good by mercifully giving all their money away to the poor and needy.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37836-subject-7795.mp3][sound:17916-subject-7795.mp3]	7712	-	Lesson_51 Vocabulary
挟む	Vocabulary	挟	Between	kanji	To Put Between, To Sandwich, To Insert	To Put Between, To Sandwich, To Insert					<reading>はさむ</reading>	はさむ		Transitive Verb, Godan Verb	パンにハムと卵を挟みました。	I put the egg and ham between the bread.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>between</kanji>, so the verb version is <vocabulary>to put between</vocabulary> or <vocabulary>to sandwich</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading already so you should be able to read it!		[sound:37943-subject-7796.mp3][sound:18037-subject-7796.mp3]	7713	-	Lesson_51 Vocabulary
枯渇	Vocabulary	枯, 渇	Wither, Thirst	kanji, kanji	Drying Up, Dry Up, Running Dry	Drying Up, Dry Up, Running Dry					<reading>こかつ</reading>	こかつ		Noun, する Verb	もうすぐ石油は枯渇する。	The petroleum will dry up very soon.					Something that <kanji>wither</kanji>s from <kanji>thirst</kanji> ends up <vocabulary>drying up</vocabulary>. If you let a plant <vocabulary>dry up</vocabulary> like this it might die if you don't water it soon.		This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>渇</ja> yet, so here's a mnemonic to help you:  If all of your plants are <vocabulary>drying up</vocabulary> you should just give them to your <reading>cats</reading> (<ja>かつ</ja>). Cats love to play with dried up plants. At least they won't go to waste.		[sound:37837-subject-7797.mp3][sound:17920-subject-7797.mp3]	7714	-	Lesson_51 Vocabulary
枯れる	Vocabulary	枯	Wither	kanji	To Wither, To Die	To Wither, To Die					<reading>かれる</reading>	かれる		Intransitive Verb, Ichidan Verb	せっかく植えた木が枯れてしまいました。	The tree I took great pains to grow withered.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>wither</kanji>, so the verb version is <vocabulary>to wither</vocabulary> or <vocabulary>to die</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn this reading yet so here's a mnemonic to help you:  How do you get plants <vocabulary>to wither</vocabulary>? You hit them with your <reading>ca</reading>r (<ja>か</ja>). It isn't very good for your car either, but the plants will definitely die, so problem solved!		[sound:37823-subject-7798.mp3][sound:17919-subject-7798.mp3]	7715	-	Lesson_51 Vocabulary
沸く	Vocabulary	沸	Boil	kanji	To Boil, To Grow Hot, To Get Excited	To Boil, To Grow Hot, To Get Excited					<reading>わく</reading>	わく		Intransitive Verb, Godan Verb	私はお湯が沸くのを待っている。	I’m waiting for the water to boil.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>boil</kanji>, so the verb version is <vocabulary>to boil</vocabulary>. It can also be used to mean <vocabulary>to get excited</vocabulary>, because you're boiling with that excitement.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn this reading yet so here's a mnemonic to help you:  What do you want <vocabulary>to boil</vocabulary> for dinner tonight? <reading>Wa</reading>lrus (<ja>わ)</ja>. Boiled walrus is a delicacy where you're from, and the only way to be able to eat its yummy walrus flesh is to boil it for a long time until it's soft. Mmm smells good.		[sound:37818-subject-7799.mp3][sound:17908-subject-7799.mp3]	7716	-	Lesson_51 Vocabulary
沸点	Vocabulary	沸, 点	Boil, Point	kanji, kanji	Boiling Point	Boiling Point					<reading>ふってん</reading>	ふってん		Noun	沸点は何度ですか。	How many degrees is the boiling point?					The <kanji>point</kanji> at which something starts to <kanji>boil</kanji> is the <vocabulary>boiling point</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37908-subject-7800.mp3][sound:18016-subject-7800.mp3]	7717	-	Lesson_51 Vocabulary
浦	Vocabulary	浦	Bay	kanji	Bay, Inlet	Bay, Inlet					<reading>うら</reading>	うら		Noun	駿河湾西沿岸は田子ノ浦と呼ばれます。	The west coast of Suruga Bay is called Takono Bay.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:37940-subject-7801.mp3][sound:18022-subject-7801.mp3]	7718	-	Lesson_51 Vocabulary
浸す	Vocabulary	浸	Immersed	kanji	To Soak, To Steep, To Dip	To Soak, To Steep, To Dip, To Drench					<reading>ひたす</reading>	ひたす		Transitive Verb, Godan Verb	どうして野菜を水に浸しているの？	Why are you soaking the vegetables in water?					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>immersed</kanji>, so the verb version is what happens when you immerse something in a liquid. It's <vocabulary>to soak</vocabulary> or <vocabulary>to dip</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You already learned this reading when you learned <ja>浸る</ja>, so you should know this one too.		[sound:37832-subject-7802.mp3][sound:17927-subject-7802.mp3]	7719	-	Lesson_51 Vocabulary
渦	Vocabulary	渦	Whirlpool	kanji	Whirlpool, Eddy, Vortex	Whirlpool, Eddy, Vortex					<reading>うず</reading>	うず		Noun	海に渦が発生するのはどうして？	Why do whirlpools appear in the ocean? 					The kanji and the word are exactly the same. That means they share meanings as well.		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this meaning, so here's a mnemonic to help you to remember:   There are lots of <vocabulary>whirlpools</vocabulary> at the <reading>u</reading>ni <reading>zoo</reading> (<ja>うず</ja>). Unis really like being spun around in whirlpools, so when you go to the zoo to see them look out for the tank full of them!		[sound:37891-subject-7803.mp3][sound:20585-subject-7803.mp3]	7720	-	Lesson_51 Vocabulary
渦中	Vocabulary	渦, 中	Whirlpool, Middle	kanji, kanji	Vortex, Maelstrom	Vortex, Maelstrom					<reading>かちゅう</reading>	かちゅう		Noun	彼は離婚騒動で渦中の人だよ。	He’s in a vortex of divorce turmoil.					In the <kanji>middle</kanji> of a <kanji>whirlpool</kanji> you'll find a spinning <vocabulary>vortex</vocabulary> of water. You really don't want to get sucked in there.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37828-subject-7804.mp3][sound:17944-subject-7804.mp3]	7721	-	Lesson_51 Vocabulary
潤い	Vocabulary	潤	Watered	kanji	Moisture, Richness, Wetness	Moisture, Richness, Wetness, Damp					<reading>うるおい</reading>	うるおい		Noun	この化粧水が、あなたのお肌の潤いを保ちます。	This lotion will help keep the moisture in your skin.					This may look like an adjective, but it's actually the noun version of the kanji <kanji>watered</kanji>. Watered things, like plants, hold a lot of <vocabulary>moisture</vocabulary> in them.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You already learned this reading when you learned <ja>潤う</ja>, so you should know this one too.		[sound:37878-subject-7805.mp3][sound:17953-subject-7805.mp3]	7722	-	Lesson_51 Vocabulary
洗濯機	Vocabulary	洗, 濯, 機	Wash, Wash, Machine	kanji, kanji, kanji	Washing Machine, Laundry Machine	Washing Machine, Laundry Machine					<reading>せんたくき</reading> <reading>せんたっき</reading>	せんたくき, せんたっき		Noun	洗濯機が壊れたみたい。	The washing machine seems to be broken.					A <kanji>wash</kanji> <kanji>wash</kanji> <kanji>machine</kanji> is just another way of saying <vocabulary>washing machine</vocabulary>. It does extra washing that you can't do by hand so there are two washes here. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37941-subject-7806.mp3][sound:18043-subject-7806.mp3][sound:41640-subject-7806.mp3][sound:41644-subject-7806.mp3]	7723	-	Lesson_51 Vocabulary
洗濯粉	Vocabulary	洗, 濯, 粉	Wash, Wash, Powder	kanji, kanji, kanji	Detergent	Detergent					<reading>せんたくこ</reading>	せんたくこ		Noun	洗濯粉がきれちゃった。	We ran out of detergent.					<kanji>Wash</kanji> <kanji>wash</kanji> <kanji>powder</kanji> is the <vocabulary>detergent</vocabulary> you put in the wash you make sure your clothes are washed well. Detergent used to only be available in powder form back in the old days, and it still can be, so this is for that good powdery stuff.		This is a mix of the on'yomi readings for <ja>洗濯</ja> and the kun'yomi reading for <ja>粉</ja>. You already learned this reading for <ja>粉</ja> when you learned the word <ja>麦粉</ja>. If you can remember that, you should know the readings for this one too!		[sound:40461-subject-7807.mp3][sound:17973-subject-7807.mp3]	7724	-	Lesson_51 Vocabulary
洗濯屋	Vocabulary	洗, 濯, 屋	Wash, Wash, Roof	kanji, kanji, kanji	Dry Cleaners, Laundromat	Dry Cleaners, Laundromat					<reading>せんたくや</reading>	せんたくや		Noun	洗濯屋にワイシャツを取りに行ってきます。	I’m going to pick up my dress shirt from the dry cleaners.					The <kanji>wash</kanji> <kanji>wash</kanji> <kanji>shop</kanji> is where you go to get your clothes washed extra well. It's the <vocabulary>dry cleaners</vocabulary>! They wash your clothes way better than you can because they wash them twice.		This is a mix of the on'yomi readings for <ja>洗濯</ja> and the kun'yomi reading for <ja>屋</ja>. You've learned all of these readings by now, so you should be able to read this word too!		[sound:37887-subject-7808.mp3][sound:17993-subject-7808.mp3]	7725	-	Lesson_51 Vocabulary
乾燥	Vocabulary	乾, 燥	Dry, Dry Up	kanji, kanji	Dehydration, Dryness	Dehydration, Dryness					<reading>かんそう</reading>	かんそう		Noun, する Verb	乾燥対策でマスクをつけています。	I’m wearing a mask to counter the dryness.					Even something <kanji>dry</kanji> will <kanji>dry up</kanji> more if it's got <vocabulary>dehydration</vocabulary>. There's a lot of <vocabulary>dryness</vocabulary> going on here.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37881-subject-7809.mp3][sound:17955-subject-7809.mp3]	7726	-	Lesson_51 Vocabulary
焦燥	Vocabulary	焦, 燥	Char, Dry Up	kanji, kanji	Impatience, Uneasy, Irritation	Impatience, Uneasy, Irritation	Patience				<reading>しょうそう</reading>	しょうそう		Noun, する Verb	度重なる事業の失敗で、すっかり焦燥しきっているんだ。	I’m thoroughly irritated with this repeatedly failing project.					If you want to <kanji>char</kanji> fish for dinner it will <kanji>dry up</kanji> because of your own <vocabulary>impatience</vocabulary>. Charring fish takes time and if you're too <vocabulary>uneasy</vocabulary> and shove it too far in the fire it will dry out, burn, and get gross.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37892-subject-7810.mp3][sound:17968-subject-7810.mp3]	7727	-	Lesson_51 Vocabulary
玄関	Vocabulary	玄, 関	Mysterious, Related	kanji, kanji	Entranceway, Entry Hall, Foyer, Entryway	Entranceway, Entry Hall, Foyer, Entryway					<reading>げんかん</reading>	げんかん		Noun, の Adjective	玄関で靴を脱いでください。	Please take off your shoes in the entranceway.					The most <kanji>mysterious</kanji> thing that's <kanji>connected</kanji> to a house is the <vocabulary>entranceway</vocabulary>. When you're walking into one you never know what's coming next. You just take off your shoes and hope the rest of the house isn't really weird or something. If it is, the <vocabulary>entryway</vocabulary> is then your only way out.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37914-subject-7811.mp3][sound:18031-subject-7811.mp3]	7728	-	Lesson_51 Vocabulary
玄米	Vocabulary	玄, 米	Mysterious, Rice	kanji, kanji	Unpolished Rice, Unmilled Rice, Brown Rice	Unpolished Rice, Unmilled Rice, Brown Rice					<reading>げんまい</reading>	げんまい		Noun	玄米は体に良い。	Unpolished rice is good for your health.					<kanji>Mysterious</kanji> <kanji>rice</kanji> is <vocabulary>unpolished rice</vocabulary>, or <vocabulary>brown rice</vocabulary>. You're used to seeing nice white rice, so seeing rice look any other way is really strange for you.		This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>米</ja> so here's a mnemonic to help you:  The biggest problem when you buy <vocabulary>unpolished rice</vocabulary> is the <reading>mic</reading>e (<ja>まい</ja>)! Mice like to eat and sleep in unpolished rice, so you have to be careful when you buy a bag that you get rid of all the sleeping mice before you try to cook it.		[sound:37925-subject-7812.mp3][sound:18011-subject-7812.mp3]	7729	-	Lesson_51 Vocabulary
瓶	Vocabulary	瓶	Bottle	kanji	Bottle, Jar	Bottle, Jar					<reading>びん</reading>	びん		Noun	瓶ビールを一本ください。	One bottled beer, please.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:37931-subject-7813.mp3][sound:18028-subject-7813.mp3]	7730	-	Lesson_51 Vocabulary
花瓶	Vocabulary	花, 瓶	Flower, Bottle	kanji, kanji	Vase, Flower Vase	Vase, Flower Vase					<reading>かびん</reading>	かびん		Noun	これは素敵な花瓶ですね。	This is a beautiful vase.					A <kanji>bottle</kanji> for <kanji>flowers</kanji> is a <vocabulary>vase</vocabulary>. You should get some flowers and put them in a vase for someone special right now.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37827-subject-7814.mp3][sound:17945-subject-7814.mp3]	7731	-	Lesson_51 Vocabulary
空き瓶	Vocabulary	空, 瓶	Sky, Bottle	kanji, kanji	Empty Bottle	Empty Bottle					<reading>あきびん</reading> <reading>からびん</reading>	あきびん, からびん		Noun	空瓶はこちらに捨ててください。	Please throw away empty bottles here.					A <kanji>sky</kanji> <kanji>bottle</kanji> is a bottle that has nothing but sky in it. It's an <vocabulary>empty bottle</vocabulary>.		The reading is a combination of kun'yomi and on'yomi readings. You learned this reading for <ja>空</ja> when you learned <ja>空き缶</ja>. If you can remember that, you can remember this too! Oh and sometimes you'll see this written <ja>空瓶</ja> without the kana too. And when that happens it can be read <ja>からびん</ja>! So if you learned it one way and not the other, don't worry, we'll take both here. Just know that seeing it as <ja>空き瓶</ja> (and pronouncing it <ja>あきびん</ja>) is way more common.		[sound:37880-subject-7815.mp3][sound:17985-subject-7815.mp3][sound:41638-subject-7815.mp3][sound:41639-subject-7815.mp3]	7732	-	Lesson_51 Vocabulary
火炎瓶	Vocabulary	火, 炎, 瓶	Fire, Flame, Bottle	kanji, kanji, kanji	Molotov Cocktail	Molotov Cocktail					<reading>かえんびん</reading>	かえんびん		Noun	男は火炎瓶を投げつけた。	The man threw a Molotov cocktail.					A <kanji>fire</kanji> in a <kanji>bottle</kanji> that makes a <kanji>big fire</kanji> when thrown is called a <vocabulary>Molotov Cocktail</vocabulary>. Don't throw them in the house please.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37977-subject-7816.mp3][sound:18045-subject-7816.mp3]	7733	-	Lesson_51 Vocabulary
瓶詰	Vocabulary	瓶, 詰	Bottle, Stuffed	kanji, kanji	Bottling, Bottled	Bottling, Bottled					<reading>びんづめ</reading>	びんづめ		Noun, する Verb, の Adjective	メープルシロップを瓶詰しています。	I’m bottling maple syrup.					What's <kanji>stuffed</kanji> in the <kanji>bottle</kanji>? Jam you <vocabulary>bottled</vocabulary> for later! How could you forget?		This word consists of the on'yomi reading for <ja>瓶</ja> and the kun'yomi reading for <ja>詰</ja> that you learned when you learned <ja>詰める</ja>. You've learned them both so as long as you remember the rendaku, you should be able to read this word too! Just remember that <ja>詰</ja> is taking the <ja>め</ja> from <ja>詰める</ja> with it in this word too. You can't see it, but it's there.		[sound:37861-subject-7817.mp3][sound:17963-subject-7817.mp3]	7734	-	Lesson_51 Vocabulary
耕す	Vocabulary	耕	Plow	kanji	To Till, To Plow, To Plough, To Cultivate	To Till, To Plow, To Plough, To Cultivate					<reading>たがやす</reading>	たがやす		Transitive Verb, Godan Verb	この機械で畑を耕すんですよ。	I’ll plow the field with this machine.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>plow</kanji>, so the verb version is <vocabulary>to plow</vocabulary> or <vocabulary>to till</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn this reading yet, so here's a mnemonic to help you:  You need <vocabulary>to till</vocabulary> your land because you want to have a <reading>tige</reading>r <reading>ya</reading>rd (<ja>たがや</ja>). That's either when you have a yard full of live tigers, or you plant bushes and shape them into tigers. I hope it's the second kind of tiger yard. Either way, you have to plow the land to get it ready.		[sound:37975-subject-7818.mp3][sound:18046-subject-7818.mp3]	7735	-	Lesson_51 Vocabulary
耕地	Vocabulary	耕, 地	Plow, Earth	kanji, kanji	Arable Land	Arable Land					<reading>こうち</reading>	こうち		Noun	この辺りには耕地が広がっています。	The arable land is spread out in this area.					<kanji>Plow</kanji>ed <kanji>land</kanji> is called <vocabulary>arable land</vocabulary>. This is the kind of land you use for growing crops or for pastures.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37984-subject-7819.mp3][sound:18009-subject-7819.mp3]	7736	-	Lesson_51 Vocabulary
耕作	Vocabulary	耕, 作	Plow, Make	kanji, kanji	Cultivation, Farming	Cultivation, Farming					<reading>こうさく</reading>	こうさく		Noun, する Verb	この土地を耕作するには許可がいります。	You need approval in order to cultivate this plot of land.					<kanji>Plow</kanji> the earth to <kanji>make</kanji> it ready for <vocabulary>cultivation</vocabulary> and <vocabulary>farming</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37869-subject-7820.mp3][sound:17984-subject-7820.mp3]	7737	-	Lesson_51 Vocabulary
農耕	Vocabulary	農, 耕	Farming, Plow	kanji, kanji	Farming, Agriculture	Farming, Agriculture					<reading>のうこう</reading>	のうこう		Noun	僕のおじいさんは農耕をしています。	My grandfather farms.					<kanji>Farming</kanji> with a <kanji>plow</kanji> is still <vocabulary>farming</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37870-subject-7821.mp3][sound:17969-subject-7821.mp3]	7738	-	Lesson_51 Vocabulary
聡い	Vocabulary	聡	Wise	kanji	Smart, Sensitive, Discerning	Smart, Sensitive, Discerning					<reading>さとい</reading>	さとい		い Adjective	この子は本当に聡い子だよ。	This is a really smart kid.					This is a single kanji with an <ja>い</ja> on the end, meaning you know it's probably an adjective. What's another way of saying <kanji>wise</kanji>? <vocabulary>Smart</vocabulary> or <vocabulary>discerning</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn this reading yet, so here's a mnemonic to help you:  What did you do to get so <vocabulary>smart</vocabulary>? You <reading>sat</reading> (<ja>さと</ja>) in class all day. You didn't even get up after class was over. You planted your butt down and sat in your desk until class started again the next morning. You absorb knowledge through your behind, so as long as you sat down all day, you sucked up all the knowledge in the world!		[sound:37928-subject-7822.mp3][sound:18027-subject-7822.mp3]	7739	-	Lesson_51 Vocabulary
聡明	Vocabulary	聡, 明	Wise, Bright	kanji, kanji	Wisdom, Sagacity	Wisdom, Sagacity					<reading>そうめい</reading>	そうめい		Noun, な Adjective	三村崇は非常に聡明な少年だった。	Takashi Mimura was a very wise boy.					A <kanji>wise</kanji> and <kanji>bright</kanji> person has a lot of <vocabulary>wisdom</vocabulary>. In fact, they have so much that it's showing up as brightness on their skin. Sparkle sparkle goes the wise old woman.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37874-subject-7823.mp3][sound:17978-subject-7823.mp3]	7740	-	Lesson_51 Vocabulary
肯定	Vocabulary	肯, 定	Agreement, Determine	kanji, kanji	Positive, Affirmation	Positive, Affirmation					<reading>こうてい</reading>	こうてい		Noun, する Verb	どうして肯定も否定もしないんですか。	Why won’t you say yes or no?					You are <kanji>determine</kanji>d to get an <kanji>agreement</kanji> out of people so you decide to be really <vocabulary>positive</vocabulary> with them. As long as you make it seem like everything is super great, and totally good for them, they'll end up agreeing with everything you say. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37876-subject-7824.mp3][sound:17979-subject-7824.mp3]	7741	-	Lesson_51 Vocabulary
脂肪	Vocabulary	脂, 肪	Fat, Obese	kanji, kanji	Fat, Grease, Blubber	Fat, Grease, Blubber					<reading>しぼう</reading>	しぼう		Noun	太ももの脂肪を落としたいんです。	I want to lose the fat from my thighs.					Something that's both <kanji>fat</kanji> and <kanji>obese</kanji> has even more <vocabulary>fat</vocabulary> on it than you first thought. Like the <vocabulary>blubber</vocabulary> on a really big whale.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37816-subject-7825.mp3][sound:17911-subject-7825.mp3]	7742	-	Lesson_51 Vocabulary
樹脂	Vocabulary	樹, 脂	Wood, Fat	kanji, kanji	Resin	Resin					<reading>じゅし</reading>	じゅし		Noun, の Adjective	これを透明の樹脂で固めました。	This was hardened with transparent resin.					The <kanji>fat</kanji> that comes out of the <kanji>wood</kanji> from trees is used to make <vocabulary>resin</vocabulary>. Trees don't have fat, you say? Well you're wrong, look it up. Trees are super fat and we use the resin from them to do all sorts of stuff.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37897-subject-7826.mp3][sound:17999-subject-7826.mp3]	7743	-	Lesson_51 Vocabulary
